datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.0,25.0,24.0,94.19,0.1,1.8,348.5,1008,25.0,9.0,0.0,0
2022-12-02 01:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-02 02:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1007,25.0,10.0,0.0,0
2022-12-02 03:00:00,25.0,25.0,24.0,94.19,0.0,5.4,290.0,1006,25.0,7.0,0.0,0
2022-12-02 04:00:00,24.0,24.0,24.0,100.0,0.0,3.6,338.3,1006,25.0,8.0,0.0,0
2022-12-02 05:00:00,24.0,24.0,24.0,100.0,0.0,3.6,334.7,1006,25.0,8.0,0.0,0
2022-12-02 06:00:00,25.0,25.0,23.0,88.68,0.0,0.0,0.0,1006,25.0,8.0,0.0,0
2022-12-02 07:00:00,24.0,24.0,23.0,94.15,0.0,3.6,305.2,1007,25.0,7.0,0.1,0
2022-12-02 08:00:00,24.0,24.0,24.0,100.0,0.0,3.6,303.8,1007,25.0,8.0,59.4,1
2022-12-02 09:00:00,25.0,25.0,24.0,94.19,0.1,5.4,309.7,1008,25.0,9.0,187.4,2
2022-12-02 10:00:00,26.0,26.0,24.0,88.75,0.1,5.4,317.0,1008,25.0,10.0,317.0,3
2022-12-02 11:00:00,27.0,30.0,24.0,83.67,0.1,7.6,280.0,1008,25.0,10.0,326.3,3
2022-12-02 12:00:00,28.0,32.6,25.0,83.78,0.5,7.6,319.1,1008,50.0,10.0,576.9,6
2022-12-02 13:00:00,30.0,36.1,25.0,74.62,1.8,9.4,320.7,1007,50.0,10.0,311.6,3
2022-12-02 14:00:00,27.0,30.5,25.0,88.83,0.2,7.6,311.3,1006,50.0,3.0,405.0,4
2022-12-02 15:00:00,28.0,32.6,25.0,83.78,5.1,0.0,0.0,1005,50.0,8.0,426.5,4
2022-12-02 16:00:00,27.0,30.5,25.0,88.83,5.2,5.4,303.7,1004,50.0,10.0,247.6,2
2022-12-02 17:00:00,27.0,30.0,24.0,83.67,1.9,5.4,320.7,1004,25.0,10.0,109.3,1
2022-12-02 18:00:00,27.0,30.5,25.0,88.83,0.3,9.4,30.0,1005,25.0,10.0,66.8,1
2022-12-02 19:00:00,26.0,26.0,24.0,88.75,0.5,5.4,70.0,1005,25.0,10.0,32.7,0
2022-12-02 20:00:00,25.0,25.0,24.0,94.19,0.0,3.6,354.4,1006,50.0,6.0,0.0,0
2022-12-02 21:00:00,25.0,25.0,24.0,94.19,0.8,3.6,338.3,1007,25.0,9.0,0.0,0
2022-12-02 22:00:00,25.0,25.0,24.0,94.19,0.1,1.8,299.1,1008,25.0,10.0,0.0,0
2022-12-02 23:00:00,25.0,25.0,24.0,94.19,1.4,3.6,276.0,1009,25.0,10.0,0.0,0
2022-12-03 00:00:00,25.0,25.0,24.0,94.19,0.2,3.6,268.2,1008,25.0,10.0,0.0,0
2022-12-03 01:00:00,25.0,25.0,24.0,94.19,0.2,3.6,267.1,1007,25.0,10.0,0.0,0
2022-12-03 02:00:00,25.0,25.0,24.0,94.19,0.4,5.8,280.9,1006,25.0,10.0,0.0,0
2022-12-03 03:00:00,24.0,24.0,24.0,100.0,0.1,0.0,0.0,1006,25.0,10.0,0.0,0
2022-12-03 04:00:00,24.0,24.0,24.0,100.0,0.0,0.0,0.0,1006,25.0,9.0,0.0,0
2022-12-03 05:00:00,24.0,24.0,24.0,100.0,0.0,1.8,248.0,1005,25.0,9.0,0.0,0
2022-12-03 06:00:00,24.0,24.0,23.0,94.15,0.0,0.0,0.0,1006,25.0,6.0,0.0,0
2022-12-03 07:00:00,24.0,24.0,23.0,94.15,0.0,0.0,0.0,1006,25.0,7.0,0.1,0
2022-12-03 08:00:00,24.0,24.0,23.0,94.15,0.0,1.8,319.3,1007,25.0,9.0,66.1,1
2022-12-03 09:00:00,26.0,26.0,24.0,88.75,0.0,3.6,323.8,1008,25.0,10.0,233.4,2
2022-12-03 10:00:00,28.0,31.8,24.0,78.91,0.1,5.4,318.1,1008,25.0,10.0,407.7,4
2022-12-03 11:00:00,29.0,33.5,24.0,74.46,0.2,9.4,306.0,1008,25.0,10.0,627.4,6
2022-12-03 12:00:00,31.0,37.6,25.0,70.47,0.5,7.6,286.2,1008,50.0,10.0,668.0,7
2022-12-03 13:00:00,31.0,37.6,25.0,70.47,3.0,5.4,266.3,1007,50.0,10.0,751.8,8
2022-12-03 14:00:00,31.0,37.6,25.0,70.47,11.7,7.6,253.0,1006,50.0,10.0,478.9,5
