datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,26.1,26.1,22.1,78.65,0.0,9.4,60.0,1009,30.0,10.0,0.0,0
2022-12-02 01:00:00,26.1,26.1,21.1,73.98,0.0,13.0,70.0,1009,30.0,10.0,0.0,0
2022-12-02 02:00:00,25.1,25.1,21.1,78.5,0.0,5.4,40.0,1008,50.0,9.0,0.0,0
2022-12-02 03:00:00,25.1,25.1,22.1,83.46,0.0,3.6,44.1,1007,50.0,9.0,0.0,0
2022-12-02 04:00:00,25.1,25.1,22.1,83.46,0.0,3.6,43.6,1006,50.0,10.0,0.0,0
2022-12-02 05:00:00,24.1,24.1,22.1,88.6,0.1,3.6,42.8,1006,30.0,10.0,0.0,0
2022-12-02 06:00:00,23.6,23.6,22.6,94.13,0.1,4.7,49.9,1007,100.0,24.1,0.0,0
2022-12-02 07:00:00,24.1,24.1,22.1,88.6,0.0,1.8,43.5,1007,50.0,10.0,0.0,0
2022-12-02 08:00:00,24.1,24.1,22.1,88.6,0.0,5.4,110.0,1007,30.0,10.0,25.0,0
2022-12-02 09:00:00,25.1,25.1,22.1,83.46,0.0,0.0,34.1,1008,30.0,10.0,158.6,2
2022-12-02 10:00:00,27.1,29.7,23.1,78.79,0.1,5.4,35.9,1009,30.0,10.0,280.4,3
2022-12-02 11:00:00,28.1,32.1,24.1,78.93,0.1,3.6,54.4,1009,30.0,10.0,390.1,4
2022-12-02 12:00:00,29.1,34.7,25.1,79.07,0.2,7.6,250.0,1008,50.0,10.0,442.2,4
2022-12-02 13:00:00,29.1,34.7,25.1,79.07,0.3,11.2,270.0,1007,50.0,10.0,435.5,4
2022-12-02 14:00:00,30.1,36.3,25.1,74.64,1.3,7.6,46.6,1006,50.0,10.0,272.0,3
2022-12-02 15:00:00,28.1,31.4,23.1,74.31,0.6,5.4,35.9,1005,50.0,10.0,409.2,4
2022-12-02 16:00:00,30.1,35.2,24.1,70.3,0.2,5.4,34.9,1005,50.0,10.0,276.6,3
2022-12-02 17:00:00,26.1,26.1,24.1,88.76,0.4,13.0,33.5,1004,50.0,9.0,79.8,1
2022-12-02 18:00:00,26.1,26.1,24.1,88.76,0.5,5.4,10.0,1005,30.0,10.0,102.8,1
2022-12-02 19:00:00,27.1,29.7,23.1,78.79,1.4,3.6,39.1,1006,30.0,10.0,17.4,0
