datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,24.0,24.0,23.0,94.15,0.7,9.4,240.0,1010,50.0,4.0,0.0,0
2022-12-02 01:00:00,24.0,24.0,23.0,94.15,0.3,0.0,0.0,1011,50.0,2.0,0.0,0
2022-12-02 02:00:00,23.0,23.0,23.0,100.0,0.4,5.4,240.0,1009,25.0,9.0,0.0,0
2022-12-02 03:00:00,23.0,23.0,23.0,100.0,0.6,0.0,0.0,1008,50.0,8.0,0.0,0
2022-12-02 04:00:00,23.0,23.0,23.0,100.0,0.6,0.0,0.0,1008,50.0,2.0,0.0,0
2022-12-02 05:00:00,23.0,23.0,23.0,100.0,1.3,0.0,0.0,1007,50.0,2.0,0.0,0
2022-12-02 06:00:00,23.0,23.0,23.0,100.0,1.0,0.0,0.0,1007,50.0,7.0,0.0,0
2022-12-02 07:00:00,23.0,23.0,23.0,100.0,0.5,0.0,0.0,1007,25.0,9.0,0.0,0
2022-12-02 08:00:00,23.0,23.0,23.0,100.0,0.2,0.0,0.0,1008,25.0,10.0,15.6,0
2022-12-02 09:00:00,24.0,24.0,23.0,94.15,0.4,0.0,0.0,1009,50.0,1.0,94.6,1
2022-12-02 10:00:00,24.0,24.0,23.0,94.15,0.7,0.0,0.0,1009,50.0,7.0,193.5,2
2022-12-02 11:00:00,24.0,24.0,23.0,94.15,0.5,0.0,0.0,1010,50.0,7.0,194.2,2
2022-12-02 12:00:00,24.0,24.0,24.0,100.0,0.9,0.0,0.0,1009,50.0,7.0,218.2,2
2022-12-02 13:00:00,24.0,24.0,24.0,100.0,1.4,0.0,0.0,1008,50.0,8.0,316.1,3
2022-12-02 14:00:00,24.0,24.0,24.0,100.0,2.5,0.0,0.0,1007,50.0,7.0,215.3,2
2022-12-02 15:00:00,25.0,25.0,24.0,94.19,3.6,0.0,0.0,1006,50.0,9.0,65.7,1
2022-12-02 16:00:00,25.0,25.0,24.0,94.19,4.3,5.4,230.0,1006,50.0,1.0,68.6,1
2022-12-02 17:00:00,24.0,24.0,24.0,100.0,4.8,0.0,0.0,1006,50.0,8.0,11.2,0
2022-12-02 18:00:00,25.0,25.0,24.0,94.19,4.6,0.0,0.0,1006,50.0,8.0,0.5,0
2022-12-02 19:00:00,24.0,24.0,24.0,100.0,4.0,11.2,110.0,1007,25.0,1.0,1.5,0
2022-12-02 20:00:00,24.0,24.0,23.0,94.15,3.5,9.4,100.0,1008,25.0,5.0,0.0,0
2022-12-02 21:00:00,24.0,24.0,24.0,100.0,3.2,0.0,0.0,1008,25.0,9.0,0.0,0
2022-12-02 22:00:00,24.0,24.0,24.0,100.0,3.5,0.0,0.0,1009,25.0,9.0,0.0,0
2022-12-02 23:00:00,24.0,24.0,24.0,100.0,4.4,0.0,0.0,1009,25.0,5.0,0.0,0
2022-12-03 00:00:00,24.0,24.0,24.0,100.0,5.4,0.0,0.0,1009,50.0,5.0,0.0,0
2022-12-03 01:00:00,24.0,24.0,24.0,100.0,5.9,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-03 02:00:00,24.0,24.0,23.0,94.15,6.2,12.6,67.5,1007,50.0,1.0,0.0,0
2022-12-03 03:00:00,24.0,24.0,23.0,94.15,5.5,0.0,0.0,1007,50.0,1.0,0.0,0
2022-12-03 04:00:00,23.0,23.0,23.0,100.0,6.5,0.0,0.0,1006,50.0,4.0,0.0,0
2022-12-03 05:00:00,24.0,24.0,23.0,94.15,7.2,0.0,0.0,1006,50.0,4.0,0.0,0
2022-12-03 06:00:00,23.0,23.0,23.0,100.0,7.7,0.0,0.0,1006,50.0,5.0,0.0,0
2022-12-03 07:00:00,23.0,23.0,23.0,100.0,7.0,0.0,0.0,1006,50.0,9.0,0.0,0
2022-12-03 08:00:00,24.0,24.0,23.0,94.15,5.4,0.0,0.0,1008,50.0,6.0,7.2,0
2022-12-03 09:00:00,24.0,24.0,24.0,100.0,4.8,0.0,0.0,1008,50.0,7.0,37.1,0
