datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.1,25.1,23.1,88.68,0.0,5.4,342.5,1009.0,30.0,10.0,0.0,0
2022-12-02 01:00:00,24.2,24.2,23.1,93.59,0.0,5.4,60.0,1009.5,90.0,10.0,0.0,0
2022-12-02 02:00:00,24.6,24.6,23.2,91.93,0.0,5.4,10.0,1008.5,90.0,10.0,0.0,0
2022-12-02 03:00:00,24.6,24.6,23.4,93.04,0.0,3.6,350.0,1008.0,90.0,10.0,0.0,0
2022-12-02 04:00:00,24.7,24.7,23.4,92.49,0.0,3.6,240.0,1007.5,90.0,10.0,0.0,0
2022-12-02 05:00:00,24.7,24.7,23.9,95.32,0.0,0.0,313.2,1007.3,90.0,9.0,0.0,0
2022-12-02 06:00:00,25.0,25.0,23.2,89.76,0.0,4.3,341.7,1008.0,100.0,24.1,0.0,0
2022-12-02 07:00:00,24.6,24.6,23.7,94.74,0.0,0.0,319.8,1008.3,90.0,8.0,0.0,0
2022-12-02 08:00:00,24.7,24.7,24.1,96.47,3.2,0.0,307.0,1009.1,90.0,8.0,34.5,0
2022-12-02 09:00:00,25.6,25.6,24.2,91.98,0.0,3.6,330.0,1009.4,90.0,9.0,192.1,2
2022-12-02 10:00:00,27.2,30.6,24.4,84.7,0.0,7.6,260.0,1009.8,90.0,12.0,357.8,4
2022-12-02 11:00:00,28.2,32.6,24.6,80.86,0.0,7.6,280.0,1009.9,90.0,15.0,529.4,5
2022-12-02 12:00:00,29.2,34.0,24.2,74.49,0.0,11.2,270.0,1008.9,90.0,16.0,591.2,6
2022-12-02 13:00:00,29.2,34.2,24.4,75.39,0.0,11.2,250.0,1007.9,90.0,16.0,656.2,7
2022-12-02 14:00:00,30.2,36.3,24.9,73.33,0.0,11.2,250.0,1006.5,90.0,16.0,508.8,5
2022-12-02 15:00:00,29.1,34.7,25.1,79.07,0.0,13.0,270.0,1005.0,50.0,10.0,627.3,6
2022-12-02 16:00:00,29.1,33.7,24.1,74.47,0.0,11.2,270.0,1005.0,50.0,10.0,510.2,5
2022-12-02 17:00:00,28.2,32.7,24.7,81.34,0.0,7.6,300.0,1005.6,90.0,14.0,279.6,3
2022-12-02 18:00:00,28.1,32.8,25.1,83.79,0.0,5.4,299.3,1005.0,50.0,10.0,113.1,1
2022-12-02 19:00:00,26.1,26.1,23.1,83.57,0.0,5.4,350.0,1006.0,30.0,10.0,30.7,0
2022-12-02 20:00:00,25.4,25.4,22.7,85.03,0.0,3.6,340.0,1007.7,90.0,12.0,0.0,0
2022-12-02 21:00:00,25.1,25.1,23.2,89.22,0.0,0.0,296.6,1008.6,90.0,12.0,0.0,0
2022-12-02 22:00:00,25.2,25.2,22.6,85.53,0.0,7.6,360.0,1009.4,90.0,12.0,0.0,0
2022-12-02 23:00:00,25.1,25.1,23.4,90.31,0.0,7.6,20.0,1009.9,90.0,12.0,0.0,0
2022-12-03 00:00:00,24.6,24.6,22.9,90.27,0.0,5.4,350.0,1009.7,90.0,12.0,0.0,0
2022-12-03 01:00:00,24.1,24.1,23.1,94.15,0.0,3.6,333.8,1009.0,30.0,10.0,0.0,0
2022-12-03 02:00:00,24.4,24.4,22.7,90.26,0.0,0.0,337.1,1007.7,90.0,12.0,0.0,0
2022-12-03 03:00:00,24.1,24.1,22.1,88.6,0.0,0.0,344.0,1006.0,30.0,10.0,0.0,0
2022-12-03 04:00:00,23.6,23.6,22.7,94.7,0.0,0.0,333.0,1006.5,90.0,12.0,0.0,0
2022-12-03 05:00:00,23.7,23.7,22.9,95.28,0.0,0.0,283.4,1006.6,90.0,12.0,0.0,0
2022-12-03 06:00:00,25.1,25.1,23.4,90.31,0.2,9.4,300.3,1007.0,100.0,24.1,0.0,0
2022-12-03 07:00:00,24.1,24.1,23.1,94.15,0.0,3.6,312.3,1007.0,30.0,10.0,0.0,0
2022-12-03 08:00:00,24.6,24.6,23.2,91.93,0.0,1.8,350.0,1008.1,90.0,14.0,41.0,0
2022-12-03 09:00:00,25.7,25.7,23.2,86.09,0.0,3.6,340.0,1009.0,90.0,14.0,171.3,2
2022-12-03 10:00:00,27.1,30.0,23.7,81.69,0.0,5.4,350.0,1009.3,90.0,16.0,258.3,3
2022-12-03 11:00:00,28.7,33.1,24.1,76.22,0.0,9.4,320.0,1009.0,90.0,18.0,485.5,5
2022-12-03 12:00:00,29.2,33.9,24.1,74.04,0.0,9.4,320.0,1008.5,90.0,18.0,613.6,6
2022-12-03 13:00:00,30.6,36.5,24.6,70.39,0.0,9.4,290.0,1007.5,90.0,18.0,671.5,7
2022-12-03 14:00:00,30.7,36.1,24.1,67.93,0.0,11.2,250.0,1006.9,90.0,18.0,612.5,6
2022-12-03 15:00:00,31.2,37.8,24.9,69.25,0.0,13.0,270.0,1005.8,90.0,18.0,712.4,7
2022-12-03 16:00:00,30.6,36.1,24.2,68.73,0.0,11.2,280.0,1005.1,90.0,18.0,606.3,6
2022-12-03 17:00:00,30.2,35.2,23.9,69.06,0.0,13.0,280.0,1005.0,90.0,18.0,360.9,4
2022-12-03 18:00:00,29.2,34.0,24.2,74.49,0.0,11.2,280.0,1005.5,90.0,16.0,211.6,2
2022-12-03 19:00:00,28.6,33.2,24.4,78.06,0.0,7.6,290.0,1006.5,90.0,16.0,52.8,1
2022-12-03 20:00:00,27.7,31.4,24.2,81.28,0.0,7.6,290.0,1007.6,90.0,14.0,0.0,0
2022-12-03 21:00:00,27.1,30.2,24.1,83.68,0.0,7.6,298.8,1008.0,30.0,10.0,0.0,0
2022-12-03 22:00:00,27.1,30.2,24.1,83.68,0.0,5.4,301.7,1009.0,30.0,10.0,0.0,0
2022-12-03 23:00:00,26.7,26.7,23.9,84.65,0.0,5.4,310.0,1009.3,90.0,12.0,0.0,0
2022-12-04 00:00:00,26.2,26.2,23.9,87.19,0.0,5.4,300.0,1009.2,90.0,12.0,0.0,0
2022-12-04 01:00:00,26.2,26.2,24.1,88.24,0.0,3.6,300.0,1008.8,90.0,12.0,0.0,0
2022-12-04 02:00:00,26.1,26.1,23.9,87.7,0.0,1.8,320.0,1008.2,90.0,12.0,0.0,0
2022-12-04 03:00:00,26.1,26.1,24.1,88.76,0.0,1.8,299.8,1007.0,30.0,10.0,0.0,0
2022-12-04 04:00:00,25.1,25.1,24.1,94.19,0.0,1.8,305.2,1007.0,30.0,10.0,0.0,0
2022-12-04 05:00:00,25.2,25.2,23.9,92.52,0.0,0.0,303.3,1007.0,90.0,9.0,0.0,0
2022-12-04 06:00:00,25.8,25.8,23.6,87.68,0.0,11.5,291.2,1007.0,99.5,24.1,0.0,0
2022-12-04 07:00:00,24.6,24.6,23.9,95.89,0.0,0.0,286.3,1008.3,90.0,9.0,0.0,0
2022-12-04 08:00:00,25.1,25.1,24.4,95.9,1.2,0.0,287.1,1009.0,100.0,9.0,53.5,1
2022-12-04 09:00:00,26.7,26.7,24.7,88.81,0.0,3.6,350.0,1010.0,90.0,12.0,188.0,2
2022-12-04 10:00:00,28.2,33.0,25.1,83.31,0.0,3.6,340.0,1010.5,90.0,14.0,408.4,4
2022-12-04 11:00:00,29.6,35.1,24.7,75.0,0.0,5.4,260.0,1010.5,90.0,18.0,579.6,6
2022-12-04 12:00:00,30.2,35.9,24.6,72.03,0.0,5.4,240.0,1010.0,90.0,18.0,696.6,7
2022-12-04 13:00:00,30.6,36.0,24.1,68.32,0.0,11.2,240.0,1009.3,90.0,18.0,833.5,8
2022-12-04 14:00:00,30.7,35.1,23.1,63.95,0.0,9.4,230.0,1008.3,90.0,18.0,755.6,8
2022-12-04 15:00:00,30.2,35.2,23.9,69.06,0.0,9.4,260.0,1007.1,90.0,18.0,776.2,8
2022-12-04 16:00:00,30.7,35.7,23.7,66.31,0.0,7.6,250.0,1006.5,90.0,18.0,664.4,7
2022-12-04 17:00:00,30.6,36.0,24.1,68.32,0.0,7.6,220.0,1006.1,90.0,18.0,462.5,5
2022-12-04 18:00:00,29.7,34.7,24.2,72.37,0.0,5.4,220.0,1006.5,90.0,16.0,228.1,2
2022-12-04 19:00:00,28.7,33.6,24.7,79.01,0.0,5.4,260.0,1007.6,90.0,12.0,46.0,0
2022-12-04 20:00:00,28.2,32.7,24.7,81.34,0.0,5.4,250.0,1008.7,90.0,12.0,0.0,0
2022-12-04 21:00:00,27.1,30.4,24.4,85.2,0.0,3.6,310.0,1009.6,90.0,12.0,0.0,0
2022-12-04 22:00:00,26.7,26.7,23.4,82.14,0.0,5.4,330.0,1009.9,90.0,12.0,0.0,0
2022-12-04 23:00:00,26.2,26.2,23.7,86.14,0.0,0.0,268.2,1009.7,90.0,12.0,0.0,0
2022-12-05 00:00:00,25.7,25.7,24.1,90.89,0.0,3.6,50.0,1009.6,90.0,12.0,0.0,0
2022-12-05 01:00:00,25.2,25.2,24.1,93.63,0.0,0.0,256.4,1009.4,90.0,12.0,0.0,0
2022-12-05 02:00:00,25.2,25.2,23.9,92.52,0.0,0.0,246.0,1008.9,90.0,12.0,0.0,0
2022-12-05 03:00:00,25.1,25.1,24.1,94.19,0.0,0.0,274.1,1008.0,30.0,10.0,0.0,0
2022-12-05 04:00:00,25.1,25.1,24.1,94.19,0.0,0.0,298.9,1007.0,30.0,10.0,0.0,0
2022-12-05 05:00:00,24.7,24.7,23.7,94.18,0.0,3.6,360.0,1007.9,90.0,10.0,0.0,0
2022-12-05 06:00:00,24.7,24.7,23.9,95.32,0.0,0.0,347.4,1008.2,90.0,10.0,0.0,0
2022-12-05 07:00:00,24.7,24.7,24.1,96.47,0.0,0.0,106.0,1008.7,90.0,10.0,0.0,0
2022-12-05 08:00:00,25.2,25.2,24.4,95.33,0.0,3.6,30.0,1009.7,90.0,12.0,47.0,0
2022-12-05 09:00:00,27.1,30.8,25.1,88.84,0.0,5.4,50.0,1010.0,30.0,9.0,189.1,2
2022-12-05 10:00:00,28.1,32.8,25.1,83.79,0.0,3.6,137.7,1010.0,30.0,10.0,359.9,4
2022-12-05 11:00:00,30.2,36.5,25.1,74.21,0.0,3.6,70.0,1011.1,90.0,14.0,543.5,5
2022-12-05 12:00:00,29.6,35.6,25.2,77.27,0.0,3.6,50.0,1010.5,90.0,16.0,623.8,6
2022-12-05 13:00:00,25.1,25.1,23.9,93.07,0.0,16.6,120.0,1010.0,90.0,1.0,660.2,7
2022-12-05 14:00:00,25.7,25.7,24.1,90.89,0.0,5.4,20.0,1008.9,90.0,9.0,563.1,6
