datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.0,25.0,24.0,94.17,0.0,0.0,359.0,1008.0,27.8,9.0,0.0,0
2022-12-02 01:00:00,25.0,25.0,24.1,94.48,0.0,0.0,360.0,1008.3,72.6,7.0,0.0,0
2022-12-02 02:00:00,24.9,24.9,24.0,95.11,0.798,0.1,0.0,1008.1,61.8,7.0,0.0,0
2022-12-02 03:00:00,25.0,25.0,23.9,93.55,0.0,0.0,360.0,1007.1,61.8,8.0,0.0,0
2022-12-02 04:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1006.0,27.8,8.0,0.0,0
2022-12-02 05:00:00,24.8,24.8,24.1,95.79,0.0,0.0,0.0,1006.3,72.6,8.0,0.0,0
2022-12-02 06:00:00,25.0,25.0,24.0,94.19,0.0,3.6,2.4,1007.0,25.0,8.0,0.0,0
2022-12-02 07:00:00,24.8,24.8,23.9,94.82,0.0,1.8,100.0,1007.4,72.6,8.0,0.0,0
2022-12-02 08:00:00,24.8,24.8,24.0,95.46,37.847,0.0,0.0,1008.1,72.6,9.0,25.2,0
2022-12-02 09:00:00,25.3,25.3,23.9,91.95,0.0,0.0,0.0,1008.5,61.8,9.0,144.5,1
2022-12-02 10:00:00,26.1,26.1,24.1,88.72,0.0,8.2,259.0,1009.1,72.6,8.0,312.1,3
2022-12-02 11:00:00,27.8,32.1,24.8,83.72,0.0,5.4,280.0,1009.2,61.8,9.0,497.0,5
2022-12-02 12:00:00,28.1,32.1,24.1,78.87,0.0,7.6,290.0,1008.3,72.6,9.0,586.2,6
2022-12-02 13:00:00,29.1,33.9,24.2,74.94,0.0,3.6,260.0,1007.2,72.6,10.0,529.1,5
2022-12-02 14:00:00,30.1,36.2,24.9,73.83,0.0,11.2,250.0,1006.0,72.5,10.0,423.4,4
2022-12-02 15:00:00,31.0,36.5,24.0,66.45,0.0,9.3,280.2,1005.0,49.9,10.0,494.7,5
2022-12-02 16:00:00,26.0,26.0,23.0,83.52,0.0,20.5,10.0,1005.0,49.9,7.0,476.3,5
2022-12-02 17:00:00,23.3,23.3,22.7,96.53,0.0,0.1,359.0,1004.5,72.6,7.0,301.6,3
2022-12-02 18:00:00,24.0,24.0,23.0,94.07,0.0,0.0,359.0,1004.0,49.9,8.0,147.8,1
2022-12-02 19:00:00,25.0,25.0,23.0,88.66,0.0,3.6,310.0,1005.0,49.9,9.0,36.8,0
2022-12-02 20:00:00,24.7,24.7,23.2,91.07,4.98,0.1,0.0,1006.5,72.6,9.0,0.0,0
2022-12-02 21:00:00,24.8,24.8,23.8,94.18,0.0,11.1,349.0,1008.3,72.6,9.0,0.0,0
2022-12-02 22:00:00,24.8,24.8,23.2,90.83,0.0,9.4,349.0,1009.1,72.6,9.0,0.0,0
2022-12-02 23:00:00,24.1,24.1,23.0,93.83,0.0,7.5,350.0,1009.4,72.6,9.0,0.0,0
2022-12-03 00:00:00,24.0,24.0,23.1,94.48,0.0,5.4,10.0,1009.1,72.6,8.0,0.0,0
2022-12-03 01:00:00,24.0,24.0,23.0,94.14,0.0,0.0,360.0,1008.0,49.9,8.0,0.0,0
2022-12-03 02:00:00,23.9,23.9,23.1,95.13,1.121,3.6,40.0,1007.1,72.6,8.0,0.0,0
2022-12-03 03:00:00,24.0,24.0,23.0,94.18,0.0,3.6,200.0,1006.0,49.9,9.0,0.0,0
2022-12-03 04:00:00,24.0,24.0,23.1,94.47,0.0,0.0,0.0,1005.5,72.6,9.0,0.0,0
2022-12-03 05:00:00,23.8,23.8,23.2,96.41,0.0,3.6,310.0,1006.2,72.6,9.0,0.0,0
2022-12-03 06:00:00,24.0,24.0,23.0,94.15,0.0,0.0,0.0,1006.0,49.9,8.0,0.0,0
2022-12-03 07:00:00,24.0,24.0,24.0,99.97,0.0,0.0,0.0,1006.0,49.9,7.0,0.0,0
2022-12-03 08:00:00,24.1,24.1,23.7,97.96,0.0,5.4,40.0,1007.2,61.8,8.0,41.4,0
2022-12-03 09:00:00,25.1,25.1,24.0,93.87,0.0,9.3,10.0,1008.2,61.8,9.0,181.4,2
2022-12-03 10:00:00,27.1,30.2,24.0,83.4,0.0,9.4,350.0,1008.3,61.8,10.0,297.0,3
2022-12-03 11:00:00,28.8,33.1,23.9,74.96,0.0,9.4,340.0,1008.3,72.6,10.0,520.6,5
2022-12-03 12:00:00,29.8,34.7,23.9,70.74,0.0,11.2,330.0,1007.4,72.6,10.0,600.8,6
2022-12-03 13:00:00,29.8,34.7,23.9,70.73,0.0,9.4,330.0,1006.9,72.6,10.0,649.9,6
2022-12-03 14:00:00,30.1,35.1,23.9,69.59,0.0,11.2,310.0,1006.0,72.6,10.0,561.0,6
2022-12-03 15:00:00,30.1,35.0,23.8,69.12,0.0,11.2,300.0,1005.2,72.6,10.0,677.1,7
2022-12-03 16:00:00,30.1,35.2,24.0,70.09,0.0,11.2,300.0,1004.2,72.6,10.0,651.6,7
2022-12-03 17:00:00,29.3,34.0,24.0,73.27,0.0,13.0,290.0,1004.2,72.6,10.0,437.9,4
2022-12-03 18:00:00,28.8,32.6,23.2,71.79,0.0,13.0,290.0,1005.0,61.8,10.0,250.0,3
