datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.1,25.1,23.1,88.68,0.0,7.6,320.0,1008.0,30.0,10.0,0.0,0
2022-12-02 01:00:00,25.2,25.2,22.9,87.1,0.0,3.6,10.0,1008.5,90.0,12.0,0.0,0
2022-12-02 02:00:00,24.4,24.4,22.9,91.36,0.0,5.4,340.0,1008.1,90.0,12.0,0.0,0
2022-12-02 03:00:00,24.1,24.1,22.7,91.9,0.0,5.4,330.0,1007.3,90.0,12.0,0.0,0
2022-12-02 04:00:00,24.1,24.1,22.1,88.6,0.0,1.8,353.0,1006.0,30.0,10.0,0.0,0
2022-12-02 05:00:00,24.1,24.1,22.2,89.14,0.0,3.6,30.0,1006.3,90.0,12.0,0.0,0
2022-12-02 06:00:00,24.2,24.2,22.4,89.7,0.0,8.6,337.6,1007.0,99.0,24.1,0.0,0
2022-12-02 07:00:00,23.2,23.2,22.2,94.11,0.0,0.0,324.9,1007.4,90.0,14.0,0.0,0
2022-12-02 08:00:00,24.2,24.2,22.4,89.7,0.0,0.0,310.2,1007.5,90.0,18.0,29.2,0
2022-12-02 09:00:00,26.2,26.2,23.2,83.58,0.0,0.0,319.6,1008.2,90.0,18.0,133.5,1
2022-12-02 10:00:00,27.7,30.8,23.2,76.53,0.0,3.6,30.0,1008.8,90.0,16.0,192.2,2
2022-12-02 11:00:00,28.1,31.4,23.2,74.76,0.0,7.6,330.0,1009.1,90.0,16.0,282.2,3
2022-12-02 12:00:00,29.1,33.4,23.7,72.7,0.0,5.4,30.0,1008.4,90.0,15.0,355.2,4
2022-12-02 13:00:00,28.6,32.7,23.9,75.75,0.0,7.6,20.0,1007.3,90.0,14.0,253.3,3
2022-12-02 14:00:00,29.9,34.1,23.2,67.36,1.0,11.2,10.0,1005.8,90.0,16.0,261.0,3
2022-12-02 15:00:00,30.7,33.8,21.7,58.73,0.0,13.0,20.0,1005.1,90.0,16.0,548.0,5
2022-12-02 16:00:00,30.1,34.3,23.1,66.19,0.0,9.4,20.0,1004.0,30.0,10.0,452.1,5
2022-12-02 17:00:00,28.9,32.3,22.7,69.24,0.0,7.6,30.0,1004.5,90.0,16.0,194.1,2
2022-12-02 18:00:00,28.1,31.4,23.1,74.31,0.0,9.4,10.0,1005.0,30.0,10.0,168.7,2
2022-12-02 19:00:00,28.1,31.4,23.1,74.31,0.0,5.4,20.0,1005.0,30.0,10.0,28.3,0
2022-12-02 20:00:00,26.7,26.7,23.2,81.15,0.0,11.2,20.0,1006.9,90.0,12.0,0.0,0
2022-12-02 21:00:00,25.1,25.1,22.6,86.04,0.0,9.4,340.0,1007.9,90.0,12.0,0.0,0
2022-12-02 22:00:00,24.6,24.6,22.7,89.18,0.0,5.4,320.0,1008.5,90.0,12.0,0.0,0
2022-12-02 23:00:00,24.6,24.6,22.7,89.18,0.0,3.6,320.0,1009.0,90.0,12.0,0.0,0
2022-12-03 00:00:00,24.7,24.7,22.4,87.05,0.0,5.4,280.0,1008.5,90.0,12.0,0.0,0
2022-12-03 01:00:00,25.1,25.1,23.1,88.68,0.0,0.0,276.2,1007.0,30.0,10.0,0.0,0
2022-12-03 02:00:00,24.7,24.7,22.7,88.65,0.0,0.0,270.2,1007.1,90.0,12.0,0.0,0
2022-12-03 03:00:00,24.1,24.1,23.1,94.15,0.0,0.0,285.2,1006.0,30.0,10.0,0.0,0
2022-12-03 04:00:00,24.1,24.1,22.7,91.9,0.0,0.0,272.0,1005.3,90.0,12.0,0.0,0
2022-12-03 05:00:00,23.9,23.9,22.7,93.01,0.0,0.0,260.5,1005.9,90.0,10.0,0.0,0
2022-12-03 06:00:00,24.0,24.0,23.0,94.15,0.0,2.5,261.3,1007.0,100.0,24.1,0.0,0
2022-12-03 07:00:00,24.1,24.1,22.1,88.6,0.0,1.8,292.7,1006.0,30.0,10.0,0.0,0
2022-12-03 08:00:00,24.2,24.2,22.7,91.35,0.0,0.0,289.1,1007.6,90.0,18.0,19.4,0
2022-12-03 09:00:00,26.1,26.1,23.1,83.57,0.0,0.0,293.5,1008.4,90.0,18.0,84.3,1
2022-12-03 10:00:00,27.6,30.9,23.7,79.33,0.0,1.8,150.0,1008.6,90.0,18.0,57.2,1
2022-12-03 11:00:00,29.7,34.6,24.1,71.94,0.0,3.6,20.0,1008.0,90.0,18.0,61.2,1
2022-12-03 12:00:00,30.2,35.0,23.7,68.24,0.0,3.6,320.0,1007.4,90.0,18.0,257.4,3
2022-12-03 13:00:00,29.6,34.5,24.1,72.35,0.0,7.6,120.0,1006.6,90.0,18.0,153.7,2
2022-12-03 14:00:00,29.7,34.4,23.9,71.08,0.0,7.6,70.0,1005.6,90.0,16.0,237.7,2
2022-12-03 15:00:00,29.7,35.3,24.7,74.57,0.0,9.4,80.0,1004.7,90.0,18.0,583.9,6
2022-12-03 16:00:00,28.2,32.6,24.6,80.86,0.0,3.6,110.0,1004.4,90.0,16.0,587.1,6
2022-12-03 17:00:00,27.1,30.6,24.9,87.79,0.0,7.6,90.0,1004.6,90.0,14.0,372.5,4
2022-12-03 18:00:00,26.2,26.2,24.7,91.47,0.0,7.6,350.0,1005.1,90.0,16.0,210.9,2
2022-12-03 19:00:00,25.1,25.1,23.2,89.22,0.0,11.2,340.0,1006.3,90.0,10.0,35.0,0
2022-12-03 20:00:00,24.9,24.9,23.7,93.06,5.0,5.4,340.0,1007.6,90.0,9.0,0.0,0
2022-12-03 21:00:00,25.1,25.1,24.1,94.19,0.0,1.8,5.0,1008.0,50.0,8.0,0.0,0
2022-12-03 22:00:00,25.1,25.1,23.1,88.68,0.0,5.4,353.2,1008.0,50.0,8.0,0.0,0
2022-12-03 23:00:00,24.7,24.7,23.6,93.61,0.0,1.8,10.0,1008.5,90.0,8.0,0.0,0
2022-12-04 00:00:00,24.7,24.7,23.4,92.49,0.0,0.0,332.9,1008.5,90.0,9.0,0.0,0
2022-12-04 01:00:00,24.6,24.6,23.4,93.04,0.0,0.0,337.3,1007.9,90.0,9.0,0.0,0
2022-12-04 02:00:00,24.4,24.4,23.4,94.16,3.0,1.8,10.0,1007.3,90.0,10.0,0.0,0
2022-12-04 03:00:00,24.1,24.1,23.1,94.15,0.0,0.0,314.0,1006.0,30.0,10.0,0.0,0
2022-12-04 04:00:00,24.1,24.1,23.1,94.15,0.0,0.0,292.0,1006.0,30.0,10.0,0.0,0
2022-12-04 05:00:00,24.1,24.1,23.2,94.72,0.0,1.8,330.0,1006.6,90.0,9.0,0.0,0
2022-12-04 06:00:00,24.3,24.3,23.6,95.88,0.0,2.9,330.5,1007.0,96.1,24.1,0.0,0
