datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.1,25.1,24.1,94.19,0.0,3.6,187.4,1009,30.0,8.0,0.0,0
2022-12-02 01:00:00,26.1,26.1,23.1,83.57,0.0,7.6,40.0,1009,30.0,8.0,0.0,0
2022-12-02 02:00:00,25.1,25.1,23.1,88.68,0.0,9.4,20.0,1008,30.0,8.0,0.0,0
2022-12-02 03:00:00,25.1,25.1,23.1,88.68,0.0,11.2,40.0,1007,30.0,8.0,0.0,0
2022-12-02 04:00:00,25.1,25.1,22.1,83.46,0.0,11.2,40.0,1006,30.0,8.0,0.0,0
2022-12-02 05:00:00,25.1,25.1,22.1,83.46,0.0,5.4,50.0,1006,30.0,8.0,0.0,0
2022-12-02 06:00:00,23.7,23.7,22.9,95.28,0.1,2.2,206.3,1007,97.1,24.1,0.0,0
2022-12-02 07:00:00,25.1,25.1,22.1,83.46,0.0,5.4,50.0,1007,30.0,8.0,0.0,0
2022-12-02 08:00:00,25.1,25.1,23.1,88.68,0.0,1.8,195.8,1008,50.0,9.0,33.8,0
2022-12-02 09:00:00,25.1,25.1,23.1,88.68,0.0,0.0,183.1,1008,30.0,9.0,162.2,2
2022-12-02 10:00:00,26.1,26.1,24.1,88.76,0.1,1.8,198.5,1009,30.0,10.0,358.5,4
2022-12-02 11:00:00,28.1,32.1,24.1,78.93,0.5,0.0,204.4,1010,50.0,10.0,468.9,5
2022-12-02 12:00:00,29.1,33.7,24.1,74.47,0.3,0.0,209.1,1009,50.0,10.0,677.7,7
2022-12-02 13:00:00,31.1,36.7,24.1,66.39,0.4,3.6,225.5,1007,50.0,10.0,615.6,6
2022-12-02 14:00:00,31.1,35.6,23.1,62.51,1.3,7.6,220.0,1006,50.0,10.0,523.3,5
2022-12-02 15:00:00,31.1,36.7,24.1,66.39,2.1,7.6,190.0,1005,50.0,9.0,497.9,5
2022-12-02 16:00:00,29.1,34.7,25.1,79.07,0.9,5.4,60.0,1004,50.0,8.0,394.0,4
2022-12-02 17:00:00,25.1,25.1,24.1,94.19,2.6,7.6,260.0,1005,50.0,8.0,202.5,2
2022-12-02 18:00:00,25.1,25.1,24.1,94.19,1.9,0.0,341.9,1005,50.0,9.0,95.9,1
2022-12-02 19:00:00,25.1,25.1,24.1,94.19,0.7,3.6,51.6,1006,50.0,9.0,20.1,0
2022-12-02 20:00:00,25.1,25.1,24.1,94.19,0.1,5.4,219.9,1007,30.0,8.0,0.0,0
2022-12-02 21:00:00,25.1,25.1,24.1,94.19,1.0,0.0,240.2,1008,30.0,8.0,0.0,0
2022-12-02 22:00:00,25.1,25.1,23.1,88.68,1.3,5.4,330.0,1009,50.0,8.0,0.0,0
2022-12-02 23:00:00,25.1,25.1,24.1,94.19,0.9,0.0,172.6,1009,50.0,8.0,0.0,0
2022-12-03 00:00:00,25.1,25.1,24.1,94.19,0.6,0.0,152.9,1009,50.0,8.0,0.0,0
2022-12-03 01:00:00,25.1,25.1,23.1,88.68,0.3,5.4,30.0,1008,30.0,8.0,0.0,0
2022-12-03 02:00:00,25.1,25.1,24.1,94.19,0.3,3.6,79.2,1007,30.0,8.0,0.0,0
2022-12-03 03:00:00,25.1,25.1,23.1,88.68,0.0,7.6,30.0,1006,30.0,8.0,0.0,0
2022-12-03 04:00:00,25.1,25.1,23.1,88.68,0.0,9.4,20.0,1005,30.0,8.0,0.0,0
2022-12-03 05:00:00,24.1,24.1,23.1,94.15,0.0,9.4,40.0,1005,30.0,8.0,0.0,0
2022-12-03 06:00:00,23.9,23.9,22.6,92.44,0.0,3.2,122.8,1007,99.6,24.1,0.0,0
2022-12-03 07:00:00,24.1,24.1,23.1,94.15,0.0,0.0,122.0,1007,50.0,8.0,0.0,0
2022-12-03 08:00:00,24.1,24.1,23.1,94.15,0.0,1.8,159.5,1008,50.0,9.0,22.3,0
2022-12-03 09:00:00,25.1,25.1,23.1,88.68,0.0,3.6,168.4,1009,50.0,9.0,101.5,1
2022-12-03 10:00:00,24.1,24.1,23.1,94.15,0.0,11.2,190.0,1009,50.0,6.0,213.3,2
2022-12-03 11:00:00,25.1,25.1,24.1,94.19,0.0,3.6,143.0,1009,50.0,3.0,289.4,3
2022-12-03 12:00:00,26.1,26.1,24.1,88.76,0.1,7.6,350.0,1008,30.0,10.0,428.9,4
2022-12-03 13:00:00,28.1,32.1,24.1,78.93,0.3,3.6,228.1,1007,30.0,10.0,296.7,3
2022-12-03 14:00:00,30.1,35.2,24.1,70.3,0.5,5.4,241.3,1006,30.0,10.0,291.9,3
2022-12-03 15:00:00,29.1,34.7,25.1,79.07,0.9,13.0,200.0,1005,50.0,10.0,512.4,5
2022-12-03 16:00:00,29.1,33.7,24.1,74.47,2.4,13.0,220.0,1004,50.0,9.0,316.7,3
2022-12-03 17:00:00,27.1,29.7,23.1,78.79,4.8,13.0,240.0,1005,50.0,9.0,195.1,2
2022-12-03 18:00:00,25.1,25.1,24.1,94.19,1.6,5.4,229.4,1005,50.0,8.0,98.8,1
2022-12-03 19:00:00,25.1,25.1,24.1,94.19,0.3,1.8,69.3,1006,50.0,8.0,28.1,0
2022-12-03 20:00:00,25.1,25.1,24.1,94.19,0.3,3.6,96.2,1007,50.0,8.0,0.0,0
2022-12-03 21:00:00,25.1,25.1,24.1,94.19,0.4,7.6,30.0,1008,50.0,8.0,0.0,0
2022-12-03 22:00:00,25.1,25.1,24.1,94.19,0.4,7.6,20.0,1008,50.0,8.0,0.0,0
2022-12-03 23:00:00,25.1,25.1,24.1,94.19,0.2,3.6,101.1,1009,50.0,8.0,0.0,0
2022-12-04 00:00:00,24.1,24.1,23.1,94.15,0.1,0.0,153.4,1008,30.0,8.0,0.0,0
2022-12-04 01:00:00,24.1,24.1,23.1,94.15,0.0,0.0,164.9,1008,30.0,8.0,0.0,0
2022-12-04 02:00:00,24.1,24.1,23.1,94.15,0.0,0.0,141.2,1007,30.0,8.0,0.0,0
2022-12-04 03:00:00,24.1,24.1,23.1,94.15,0.7,5.4,136.6,1007,30.0,8.0,0.0,0
2022-12-04 04:00:00,24.1,24.1,23.1,94.15,0.2,5.4,20.0,1007,30.0,8.0,0.0,0
2022-12-04 05:00:00,24.1,24.1,23.1,94.15,0.3,5.4,30.0,1006,30.0,8.0,0.0,0
2022-12-04 06:00:00,23.5,23.5,22.5,94.13,0.5,2.9,98.3,1007,100.0,24.1,0.0,0
2022-12-04 07:00:00,24.1,24.1,23.1,94.15,0.3,5.4,40.0,1007,30.0,8.0,0.0,0
2022-12-04 08:00:00,24.1,24.1,23.1,94.15,0.2,3.6,125.9,1008,30.0,9.0,18.2,0
2022-12-04 09:00:00,25.1,25.1,23.1,88.68,0.0,5.4,30.0,1009,30.0,10.0,101.3,1
2022-12-04 10:00:00,27.1,29.7,23.1,78.79,0.1,3.6,141.7,1009,30.0,10.0,149.4,1
2022-12-04 11:00:00,29.1,33.7,24.1,74.47,0.1,3.6,156.3,1009,30.0,10.0,383.1,4
2022-12-04 12:00:00,30.1,35.2,24.1,70.3,0.0,7.6,165.0,1009,30.0,10.0,458.1,5
2022-12-04 13:00:00,31.1,35.6,23.1,62.51,0.1,11.2,190.0,1008,50.0,10.0,609.0,6
2022-12-04 14:00:00,31.1,36.7,24.1,66.39,0.1,11.2,177.8,1007,50.0,10.0,513.6,5
2022-12-04 15:00:00,32.1,38.0,24.1,62.73,0.0,13.0,200.0,1006,50.0,10.0,701.3,7
