datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,24.5,24.5,23.2,92.48,0.0,11.2,68.1,1010.0,100.0,24.1,0.0,0
2022-12-02 01:00:00,26.2,26.2,23.6,85.62,0.0,0.0,68.0,1009.5,100.0,10.0,0.0,0
2022-12-02 02:00:00,24.3,24.3,23.2,93.59,0.0,11.2,62.7,1009.0,100.0,24.1,0.0,0
2022-12-02 03:00:00,24.2,24.2,23.0,93.02,0.0,10.1,62.4,1008.0,100.0,24.1,0.0,0
2022-12-02 04:00:00,25.9,25.9,23.2,85.08,0.0,0.0,54.3,1006.8,100.0,10.0,0.0,0
2022-12-02 05:00:00,24.2,24.2,22.9,92.46,0.0,3.6,35.9,1007.0,98.7,24.1,0.0,0
2022-12-02 06:00:00,24.2,24.2,22.9,92.46,0.0,2.5,34.2,1008.0,97.4,24.1,0.0,0
2022-12-02 07:00:00,25.1,25.1,23.6,91.4,0.0,0.0,48.8,1007.3,90.0,10.0,19.1,0
2022-12-02 08:00:00,25.0,25.0,23.1,89.21,0.0,2.5,29.6,1009.0,98.4,24.1,170.5,2
2022-12-02 09:00:00,26.8,29.4,23.5,82.15,0.0,3.2,53.6,1010.0,100.0,24.1,287.5,3
2022-12-02 10:00:00,29.1,35.5,25.9,82.91,0.0,0.0,81.6,1010.1,90.0,10.0,359.1,4
2022-12-02 11:00:00,27.0,29.9,23.8,82.67,0.0,6.5,75.1,1010.0,100.0,18.1,401.5,4
2022-12-02 12:00:00,28.2,32.2,24.1,78.47,0.0,6.1,50.3,1008.0,100.0,13.5,352.2,4
2022-12-02 13:00:00,31.2,39.9,26.4,75.7,0.0,0.0,47.0,1007.2,90.0,10.0,250.0,3
2022-12-02 14:00:00,27.2,30.0,23.2,78.8,0.0,9.0,63.3,1007.0,100.0,24.1,417.5,4
2022-12-02 15:00:00,26.4,26.4,23.4,83.6,0.0,9.0,36.2,1007.0,96.2,12.8,346.3,3
2022-12-02 16:00:00,27.1,30.6,24.9,87.79,3.0,0.0,43.6,1005.8,100.0,7.0,116.4,1
2022-12-02 17:00:00,25.2,25.2,23.3,89.23,0.0,5.8,45.6,1007.0,99.0,24.1,161.5,2
2022-12-02 18:00:00,24.9,24.9,23.0,89.21,0.0,6.1,52.7,1008.0,99.0,24.1,24.4,0
