datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,26.0,26.0,24.0,88.75,0.1,11.2,190.0,1008,25.0,10.0,0.0,0
2022-12-02 01:00:00,26.0,26.0,24.0,88.75,0.0,5.4,180.0,1007,25.0,10.0,0.0,0
2022-12-02 02:00:00,25.0,25.0,24.0,94.19,0.8,3.6,206.1,1006,25.0,10.0,0.0,0
2022-12-02 03:00:00,25.0,25.0,24.0,94.19,0.4,3.6,190.8,1005,25.0,10.0,0.0,0
2022-12-02 04:00:00,25.0,25.0,24.0,94.19,0.9,5.4,120.0,1005,25.0,10.0,0.0,0
2022-12-02 05:00:00,24.0,24.0,24.0,100.0,0.7,7.6,100.0,1005,25.0,10.0,0.0,0
2022-12-02 06:00:00,24.0,24.0,24.0,100.0,0.2,5.4,100.0,1006,25.0,10.0,0.0,0
2022-12-02 07:00:00,25.0,25.0,24.0,94.19,0.2,5.4,80.0,1007,25.0,10.0,24.8,0
2022-12-02 08:00:00,26.0,26.0,24.0,88.75,0.2,7.6,110.0,1008,25.0,10.0,167.0,2
2022-12-02 09:00:00,26.0,26.0,24.0,88.75,0.3,5.4,110.0,1008,25.0,10.0,249.1,2
2022-12-02 10:00:00,27.0,30.0,24.0,83.67,0.4,5.4,54.3,1008,25.0,10.0,393.2,4
2022-12-02 11:00:00,30.0,36.1,25.0,74.62,0.5,3.6,2.4,1007,25.0,10.0,450.2,5
2022-12-02 12:00:00,31.0,39.0,26.0,74.78,0.2,5.4,352.0,1006,25.0,10.0,454.3,5
2022-12-02 13:00:00,31.0,39.0,26.0,74.78,2.0,7.6,26.1,1005,25.0,10.0,549.0,5
2022-12-02 14:00:00,30.0,37.3,26.0,79.19,3.0,5.4,33.5,1004,25.0,10.0,420.1,4
2022-12-02 15:00:00,30.0,36.1,25.0,74.62,0.2,5.4,310.0,1004,25.0,10.0,296.7,3
2022-12-02 16:00:00,29.0,34.4,25.0,79.05,0.0,3.6,78.8,1003,25.0,10.0,201.8,2
2022-12-02 17:00:00,29.0,34.4,25.0,79.05,0.0,0.0,0.0,1004,25.0,10.0,109.1,1
2022-12-02 18:00:00,28.0,32.6,25.0,83.78,0.0,0.0,0.0,1004,25.0,10.0,31.9,0
2022-12-02 19:00:00,28.0,32.6,25.0,83.78,0.0,0.0,0.0,1005,25.0,10.0,0.0,0
2022-12-02 20:00:00,27.0,31.0,26.0,94.27,0.0,7.6,110.0,1006,25.0,10.0,0.0,0
2022-12-02 21:00:00,27.0,31.0,26.0,94.27,0.0,3.6,69.4,1006,25.0,10.0,0.0,0
2022-12-02 22:00:00,27.0,30.5,25.0,88.83,0.0,5.4,75.3,1007,25.0,10.0,0.0,0
2022-12-02 23:00:00,26.0,26.0,25.0,94.23,0.0,5.4,100.0,1007,25.0,10.0,0.0,0
2022-12-03 00:00:00,26.0,26.0,24.0,88.75,0.0,5.4,136.7,1007,25.0,10.0,0.0,0
2022-12-03 01:00:00,26.0,26.0,24.0,88.75,0.0,7.6,90.0,1006,25.0,10.0,0.0,0
2022-12-03 02:00:00,25.0,25.0,24.0,94.19,0.0,4.3,146.8,1006,25.0,10.0,0.0,0
2022-12-03 03:00:00,25.0,25.0,23.0,88.68,0.0,9.4,110.0,1005,25.0,10.0,0.0,0
2022-12-03 04:00:00,25.0,25.0,23.0,88.68,0.0,7.6,110.0,1005,25.0,10.0,0.0,0
2022-12-03 05:00:00,24.0,24.0,23.0,94.15,0.0,7.6,100.0,1005,25.0,10.0,0.0,0
2022-12-03 06:00:00,25.0,25.0,23.0,88.68,0.0,9.4,110.0,1006,25.0,10.0,0.0,0
2022-12-03 07:00:00,25.0,25.0,23.0,88.68,0.5,7.6,110.0,1007,25.0,10.0,30.1,0
2022-12-03 08:00:00,26.0,26.0,23.0,83.56,0.0,11.2,100.0,1008,25.0,10.0,161.4,2
2022-12-03 09:00:00,29.0,34.4,25.0,79.05,0.0,5.4,90.0,1008,25.0,10.0,396.6,4
2022-12-03 10:00:00,30.0,35.0,24.0,70.28,0.1,3.6,246.7,1008,25.0,10.0,579.5,6
2022-12-03 11:00:00,31.0,37.6,25.0,70.47,1.3,5.4,290.0,1008,25.0,10.0,713.1,7
2022-12-03 12:00:00,31.0,39.0,26.0,74.78,1.1,5.4,310.0,1007,25.0,10.0,663.3,7
2022-12-03 13:00:00,32.0,40.5,26.0,70.65,0.5,5.4,280.4,1006,25.0,10.0,538.6,5
2022-12-03 14:00:00,32.0,39.1,25.0,66.57,0.5,7.6,304.5,1005,25.0,10.0,485.2,5
2022-12-03 15:00:00,32.0,40.5,26.0,70.65,0.4,5.4,1.1,1004,25.0,10.0,627.9,6
2022-12-03 16:00:00,31.0,37.6,25.0,70.47,0.0,3.6,9.2,1004,25.0,10.0,393.0,4
2022-12-03 17:00:00,30.0,36.1,25.0,74.62,0.0,5.4,7.5,1005,25.0,10.0,193.7,2
2022-12-03 18:00:00,29.0,33.5,24.0,74.46,0.0,3.6,9.0,1005,25.0,10.0,51.6,0
2022-12-03 19:00:00,28.0,32.6,25.0,83.78,0.0,0.0,0.0,1006,25.0,10.0,0.0,0
2022-12-03 20:00:00,27.0,30.5,25.0,88.83,0.0,5.4,120.0,1007,25.0,10.0,0.0,0
2022-12-03 21:00:00,27.0,30.5,25.0,88.83,0.0,5.4,120.0,1008,25.0,10.0,0.0,0
2022-12-03 22:00:00,26.0,26.0,24.0,88.75,0.0,9.4,100.0,1008,25.0,10.0,0.0,0
2022-12-03 23:00:00,26.0,26.0,24.0,88.75,0.0,7.6,100.0,1008,25.0,10.0,0.0,0
2022-12-04 00:00:00,26.0,26.0,24.0,88.75,0.2,9.4,110.0,1008,25.0,10.0,0.0,0
2022-12-04 01:00:00,26.0,26.0,24.0,88.75,0.4,7.6,110.0,1008,25.0,10.0,0.0,0
2022-12-04 02:00:00,26.0,26.0,24.0,88.75,0.1,3.6,188.6,1008,25.0,10.0,0.0,0
2022-12-04 03:00:00,26.0,26.0,25.0,94.23,0.0,13.0,200.0,1008,25.0,10.0,0.0,0
2022-12-04 04:00:00,26.0,26.0,24.0,88.75,0.1,7.6,210.0,1008,25.0,10.0,0.0,0
2022-12-04 05:00:00,26.0,26.0,24.0,88.75,0.1,5.4,160.0,1008,25.0,10.0,0.0,0
2022-12-04 06:00:00,26.0,26.0,24.0,88.75,0.1,3.6,195.1,1008,25.0,10.0,0.0,0
2022-12-04 07:00:00,26.0,26.0,24.0,88.75,0.0,5.4,120.0,1009,25.0,10.0,33.4,0
2022-12-04 08:00:00,28.0,32.6,25.0,83.78,0.0,5.4,180.0,1010,25.0,10.0,195.0,2
2022-12-04 09:00:00,29.0,34.4,25.0,79.05,0.0,11.2,220.0,1011,25.0,10.0,394.9,4
2022-12-04 10:00:00,30.0,36.1,25.0,74.62,0.1,11.2,220.0,1010,25.0,10.0,598.4,6
2022-12-04 11:00:00,31.0,37.6,25.0,70.47,0.0,9.4,240.0,1010,25.0,10.0,723.9,7
2022-12-04 12:00:00,32.0,40.5,26.0,70.65,0.1,5.4,243.7,1009,25.0,10.0,730.0,7
2022-12-04 13:00:00,31.0,39.0,26.0,74.78,0.4,9.4,246.6,1008,25.0,10.0,573.9,6
2022-12-04 14:00:00,32.0,39.1,25.0,66.57,1.2,5.4,303.0,1007,25.0,10.0,679.5,7
2022-12-04 15:00:00,33.0,42.0,26.0,66.77,1.5,9.4,300.0,1006,25.0,10.0,395.4,4
2022-12-04 16:00:00,32.0,40.5,26.0,70.65,0.1,7.6,300.0,1006,25.0,10.0,321.5,3
2022-12-04 17:00:00,31.0,37.6,25.0,70.47,0.0,5.4,23.2,1007,25.0,10.0,202.6,2
