datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,25.0,25.0,23.0,88.68,0.0,5.4,280.0,1009,25.0,9.0,0.0,0
2022-12-02 01:00:00,25.0,25.0,23.0,88.68,0.0,3.6,341.2,1009,25.0,9.0,0.0,0
2022-12-02 02:00:00,25.0,25.0,23.0,88.68,0.0,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-02 03:00:00,25.0,25.0,24.0,94.19,1.2,1.8,23.4,1007,25.0,8.0,0.0,0
2022-12-02 04:00:00,25.0,25.0,24.0,94.19,0.2,1.8,43.8,1007,25.0,8.0,0.0,0
2022-12-02 05:00:00,25.0,25.0,24.0,94.19,0.2,0.0,0.0,1006,25.0,9.0,0.0,0
2022-12-02 06:00:00,25.0,25.0,24.0,94.19,0.2,3.6,94.1,1007,25.0,9.0,0.0,0
2022-12-02 07:00:00,25.0,25.0,24.0,94.19,0.1,0.0,0.0,1008,25.0,9.0,0.0,0
2022-12-02 08:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1008,25.0,10.0,16.8,0
2022-12-02 09:00:00,27.0,30.0,24.0,83.67,0.0,0.0,0.0,1009,25.0,10.0,107.1,1
2022-12-02 10:00:00,28.0,31.8,24.0,78.91,0.0,9.4,210.0,1009,25.0,10.0,308.0,3
2022-12-02 11:00:00,29.0,33.5,24.0,74.46,0.0,7.6,270.0,1010,25.0,10.0,526.2,5
2022-12-02 12:00:00,30.0,34.0,23.0,66.17,0.1,5.4,273.4,1009,25.0,10.0,574.4,6
2022-12-02 13:00:00,31.0,36.4,24.0,66.37,0.5,5.4,284.2,1007,25.0,10.0,494.9,5
2022-12-02 14:00:00,31.0,36.4,24.0,66.37,1.0,18.4,290.0,1006,25.0,10.0,512.1,5
2022-12-02 15:00:00,28.0,32.6,25.0,83.78,1.1,5.4,288.7,1005,25.0,10.0,457.5,5
2022-12-02 16:00:00,29.0,33.5,24.0,74.46,0.2,11.2,310.0,1005,25.0,10.0,500.4,5
2022-12-02 17:00:00,28.0,31.8,24.0,78.91,1.2,11.2,280.0,1005,25.0,10.0,301.3,3
2022-12-02 18:00:00,28.0,31.8,24.0,78.91,0.4,7.6,300.0,1005,25.0,10.0,160.1,2
2022-12-02 19:00:00,28.0,32.6,25.0,83.78,1.7,11.2,310.0,1006,25.0,10.0,43.3,0
2022-12-02 20:00:00,27.0,29.5,23.0,78.77,0.4,18.4,10.0,1007,50.0,9.0,0.0,0
2022-12-02 21:00:00,24.0,24.0,23.0,94.15,0.3,7.6,190.0,1009,50.0,6.0,0.0,0
2022-12-02 22:00:00,24.0,24.0,23.0,94.15,0.1,7.6,210.0,1010,25.0,8.0,0.0,0
2022-12-02 23:00:00,24.0,24.0,23.0,94.15,0.0,3.6,42.4,1009,25.0,10.0,0.0,0
2022-12-03 00:00:00,24.0,24.0,24.0,100.0,0.0,3.6,60.4,1009,25.0,10.0,0.0,0
2022-12-03 01:00:00,24.0,24.0,24.0,100.0,0.0,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-03 02:00:00,24.0,24.0,24.0,100.0,0.0,4.7,76.9,1007,25.0,10.0,0.0,0
2022-12-03 03:00:00,24.0,24.0,24.0,100.0,1.5,5.4,200.0,1007,25.0,8.0,0.0,0
2022-12-03 04:00:00,25.0,25.0,24.0,94.19,0.9,0.0,0.0,1006,25.0,9.0,0.0,0
2022-12-03 05:00:00,25.0,25.0,24.0,94.19,0.4,0.0,0.0,1006,25.0,9.0,0.0,0
2022-12-03 06:00:00,25.0,25.0,24.0,94.19,0.1,3.6,104.6,1007,25.0,9.0,0.0,0
2022-12-03 07:00:00,25.0,25.0,24.0,94.19,0.0,3.6,81.0,1007,25.0,8.0,0.0,0
2022-12-03 08:00:00,25.0,25.0,24.0,94.19,0.1,5.4,360.0,1008,25.0,9.0,33.4,0
2022-12-03 09:00:00,25.0,25.0,24.0,94.19,0.1,5.4,350.0,1009,25.0,9.0,143.3,1
2022-12-03 10:00:00,27.0,30.0,24.0,83.67,0.1,9.4,350.0,1009,25.0,10.0,251.5,3
2022-12-03 11:00:00,28.0,31.8,24.0,78.91,0.1,13.0,320.0,1009,25.0,10.0,354.3,4
2022-12-03 12:00:00,29.0,33.5,24.0,74.46,0.3,13.0,320.0,1008,25.0,10.0,393.8,4
2022-12-03 13:00:00,30.0,35.0,24.0,70.28,2.4,13.0,330.0,1007,50.0,10.0,708.7,7
2022-12-03 14:00:00,30.0,35.0,24.0,70.28,3.8,11.2,270.0,1006,25.0,10.0,618.4,6
2022-12-03 15:00:00,30.0,35.0,24.0,70.28,0.2,14.8,300.0,1006,25.0,10.0,704.7,7
2022-12-03 16:00:00,29.0,33.5,24.0,74.46,0.4,13.0,280.0,1005,25.0,10.0,627.0,6
2022-12-03 17:00:00,29.0,33.5,24.0,74.46,0.7,13.0,290.0,1005,25.0,10.0,406.1,4
2022-12-03 18:00:00,28.0,31.8,24.0,78.91,0.2,14.8,280.0,1006,25.0,10.0,236.1,2
2022-12-03 19:00:00,27.0,30.5,25.0,88.83,0.4,7.6,280.0,1006,25.0,9.0,59.6,1
2022-12-03 20:00:00,27.0,30.5,25.0,88.83,0.2,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-03 21:00:00,26.0,26.0,25.0,94.23,0.1,3.6,18.8,1008,25.0,10.0,0.0,0
2022-12-03 22:00:00,26.0,26.0,24.0,88.75,0.1,1.8,24.7,1009,25.0,10.0,0.0,0
2022-12-03 23:00:00,26.0,26.0,25.0,94.23,0.1,0.0,0.0,1009,50.0,9.0,0.0,0
2022-12-04 00:00:00,26.0,26.0,25.0,94.23,0.3,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-04 01:00:00,26.0,26.0,25.0,94.23,0.9,0.0,0.0,1008,25.0,9.0,0.0,0
2022-12-04 02:00:00,25.0,25.0,24.0,94.19,1.2,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-04 03:00:00,25.0,25.0,24.0,94.19,0.7,0.0,0.0,1007,25.0,10.0,0.0,0
2022-12-04 04:00:00,25.0,25.0,24.0,94.19,0.6,0.0,0.0,1007,25.0,8.0,0.0,0
2022-12-04 05:00:00,25.0,25.0,24.0,94.19,1.0,0.0,0.0,1006,25.0,8.0,0.0,0
2022-12-04 06:00:00,25.0,25.0,24.0,94.19,0.1,0.0,0.0,1007,25.0,7.0,0.0,0
2022-12-04 07:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1007,25.0,8.0,0.0,0
2022-12-04 08:00:00,25.0,25.0,24.0,94.19,0.0,0.0,0.0,1008,25.0,9.0,30.7,0
2022-12-04 09:00:00,27.0,30.5,25.0,88.83,0.1,0.0,0.0,1009,25.0,10.0,111.1,1
2022-12-04 10:00:00,27.0,30.0,24.0,83.67,0.0,1.8,15.7,1010,25.0,10.0,282.6,3
2022-12-04 11:00:00,29.0,33.5,24.0,74.46,0.0,5.4,20.0,1010,25.0,10.0,505.5,5
2022-12-04 12:00:00,30.0,35.0,24.0,70.28,0.1,7.6,280.0,1009,25.0,10.0,679.7,7
2022-12-04 13:00:00,31.0,36.4,24.0,66.37,0.3,9.4,270.0,1009,50.0,10.0,781.2,8
2022-12-04 14:00:00,32.0,37.8,24.0,62.7,0.4,9.4,300.0,1007,50.0,10.0,647.1,6
2022-12-04 15:00:00,31.0,36.4,24.0,66.37,0.2,11.2,280.0,1006,25.0,10.0,771.5,8
2022-12-04 16:00:00,31.0,35.4,23.0,62.49,0.1,13.0,260.0,1005,25.0,10.0,660.3,7
2022-12-04 17:00:00,30.0,35.0,24.0,70.28,0.0,9.4,250.0,1005,25.0,10.0,455.7,5
2022-12-04 18:00:00,30.0,35.0,24.0,70.28,0.0,5.4,260.0,1006,25.0,10.0,260.8,3
2022-12-04 19:00:00,29.0,33.5,24.0,74.46,0.0,3.6,127.5,1007,25.0,10.0,49.6,0
2022-12-04 20:00:00,28.0,32.6,25.0,83.78,0.0,1.8,113.8,1008,25.0,10.0,0.0,0
2022-12-04 21:00:00,28.0,32.6,25.0,83.78,0.0,0.0,0.0,1009,25.0,10.0,0.0,0
2022-12-04 22:00:00,27.0,30.5,25.0,88.83,0.0,0.0,0.0,1009,25.0,9.0,0.0,0
2022-12-04 23:00:00,27.0,30.5,25.0,88.83,0.0,0.0,0.0,1009,25.0,8.0,0.0,0
2022-12-05 00:00:00,26.0,26.0,25.0,94.23,0.0,1.8,82.4,1009,25.0,8.0,0.0,0
2022-12-05 01:00:00,27.0,30.0,24.0,83.67,0.0,1.8,73.9,1009,25.0,8.0,0.0,0
2022-12-05 02:00:00,26.0,26.0,25.0,94.23,0.0,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-05 03:00:00,26.0,26.0,25.0,94.23,0.0,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-05 04:00:00,26.0,26.0,25.0,94.23,0.0,0.0,0.0,1007,25.0,6.0,0.0,0
2022-12-05 05:00:00,26.0,26.0,25.0,94.23,0.0,0.0,0.0,1007,25.0,8.0,0.0,0
2022-12-05 06:00:00,26.0,26.0,25.0,94.23,0.0,0.0,0.0,1007,25.0,8.0,0.0,0
2022-12-05 07:00:00,26.0,26.0,24.0,88.75,0.0,0.0,0.0,1008,25.0,8.0,0.0,0
2022-12-05 08:00:00,26.0,26.0,24.0,88.75,0.0,7.9,90.2,1009,25.0,9.0,39.9,0
2022-12-05 09:00:00,29.0,32.6,23.0,70.1,0.0,5.4,130.0,1010,25.0,10.0,188.5,2
2022-12-05 10:00:00,30.0,34.0,23.0,66.17,0.0,11.2,140.0,1010,25.0,10.0,348.8,3
2022-12-05 11:00:00,31.0,35.4,23.0,62.49,0.1,14.8,160.0,1010,25.0,10.0,553.5,6
2022-12-05 12:00:00,30.0,34.0,23.0,66.17,0.1,13.0,170.0,1010,25.0,10.0,560.2,6
2022-12-05 13:00:00,31.0,35.4,23.0,62.49,0.2,5.4,200.0,1009,50.0,10.0,637.6,6
2022-12-05 14:00:00,32.0,36.7,23.0,59.03,0.5,9.4,230.0,1008,50.0,10.0,529.7,5
2022-12-05 15:00:00,33.0,38.0,23.0,55.79,0.0,9.4,207.0,1007,50.0,10.0,800.5,8
2022-12-05 16:00:00,32.0,36.7,23.0,59.03,0.0,5.4,280.0,1006,50.0,10.0,617.7,6
2022-12-05 17:00:00,32.0,35.7,22.0,55.55,0.0,9.4,180.0,1006,25.0,10.0,476.5,5
2022-12-05 18:00:00,31.0,34.4,22.0,58.8,0.0,7.6,240.0,1006,25.0,10.0,253.0,3
2022-12-05 19:00:00,30.0,34.0,23.0,66.17,0.0,3.6,179.6,1007,25.0,10.0,64.6,1
2022-12-05 20:00:00,30.0,34.0,23.0,66.17,0.0,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-05 21:00:00,29.0,33.5,24.0,74.46,0.0,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-05 22:00:00,28.0,32.6,25.0,83.78,0.0,0.0,0.0,1009,25.0,10.0,0.0,0
2022-12-05 23:00:00,28.0,32.6,25.0,83.78,0.0,1.8,139.0,1009,25.0,10.0,0.0,0
2022-12-06 00:00:00,28.0,31.8,24.0,78.91,0.0,9.4,170.0,1009,25.0,10.0,0.0,0
2022-12-06 01:00:00,28.0,31.8,24.0,78.91,0.0,7.6,180.0,1009,25.0,10.0,0.0,0
2022-12-06 02:00:00,27.0,30.0,24.0,83.67,0.0,5.4,140.0,1009,25.0,10.0,0.0,0
2022-12-06 03:00:00,27.0,30.0,24.0,83.67,0.6,7.6,160.0,1008,25.0,10.0,0.0,0
2022-12-06 04:00:00,26.0,26.0,24.0,88.75,0.8,7.6,120.0,1007,25.0,10.0,0.0,0
2022-12-06 05:00:00,26.0,26.0,25.0,94.23,0.3,0.0,0.0,1007,25.0,10.0,0.0,0
2022-12-06 06:00:00,26.0,26.0,25.0,94.23,0.1,0.0,0.0,1008,25.0,10.0,0.0,0
2022-12-06 07:00:00,26.0,26.0,25.0,94.23,0.0,1.8,92.6,1008,25.0,6.0,0.0,0
2022-12-06 08:00:00,26.0,26.0,25.0,94.23,0.0,1.8,100.1,1009,25.0,7.0,32.5,0
2022-12-06 09:00:00,28.0,32.6,25.0,83.78,0.0,3.6,120.6,1009,25.0,10.0,111.7,1
2022-12-06 10:00:00,30.0,35.0,24.0,70.28,0.0,5.4,170.0,1010,25.0,10.0,166.2,2
2022-12-06 11:00:00,31.0,36.4,24.0,66.37,0.0,5.4,142.6,1009,25.0,10.0,276.2,3
2022-12-06 12:00:00,32.0,37.8,24.0,62.7,0.1,5.4,158.5,1009,25.0,10.0,384.4,4
2022-12-06 13:00:00,32.0,37.8,24.0,62.7,0.2,7.6,160.0,1008,25.0,10.0,692.4,7
2022-12-06 14:00:00,33.0,38.0,23.0,55.79,0.2,9.4,160.0,1007,50.0,10.0,690.8,7
2022-12-06 15:00:00,34.0,40.5,24.0,56.03,1.3,11.2,200.0,1005,25.0,10.0,742.0,7
2022-12-06 16:00:00,33.0,39.1,24.0,59.26,0.1,13.0,200.0,1004,25.0,10.0,552.1,6
2022-12-06 17:00:00,28.0,32.6,25.0,83.78,0.0,14.8,190.5,1005,25.0,7.0,393.7,4
