datetime,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-12-02 00:00:00,24.0,24.0,24.0,100.0,0.5,5.4,7.1,1009.0,50.0,9.0,0.0,0
2022-12-02 01:00:00,24.0,24.0,24.0,100.0,0.2,5.4,350.8,1009.0,25.0,10.0,0.0,0
2022-12-02 02:00:00,24.0,24.0,24.0,100.0,0.4,7.6,270.0,1008.0,50.0,9.0,0.0,0
2022-12-02 03:00:00,24.0,24.0,24.0,100.0,1.1,5.4,260.0,1007.0,50.0,9.0,0.0,0
2022-12-02 04:00:00,24.0,24.0,23.0,94.15,2.5,9.4,270.0,1006.0,50.0,10.0,0.0,0
2022-12-02 05:00:00,25.0,25.0,24.0,94.19,3.8,9.4,290.0,1006.0,50.0,10.0,0.0,0
2022-12-02 06:00:00,24.0,24.0,24.0,100.0,1.3,5.4,250.0,1006.0,50.0,10.0,0.0,0
2022-12-02 07:00:00,24.0,24.0,23.0,94.15,0.4,7.6,220.0,1007.0,25.0,10.0,0.0,0
2022-12-02 08:00:00,24.0,24.0,24.0,100.0,0.8,5.4,99.6,1007.0,25.0,10.0,11.3,0
2022-12-02 09:00:00,25.0,25.0,24.0,94.19,1.0,5.4,220.0,1008.0,25.0,10.0,56.5,1
2022-12-02 10:00:00,25.0,25.0,24.0,94.19,0.9,5.4,47.9,1009.0,50.0,8.0,81.8,1
2022-12-02 11:00:00,25.0,25.0,24.0,94.19,1.3,5.4,250.0,1009.0,50.0,10.0,126.9,1
2022-12-02 12:00:00,25.0,25.0,24.0,94.19,1.6,5.4,290.0,1009.0,50.0,5.0,124.3,1
2022-12-02 13:00:00,26.0,26.0,24.0,88.75,1.7,9.4,280.0,1008.0,25.0,10.0,159.6,2
2022-12-02 14:00:00,26.0,26.0,25.0,94.23,1.7,5.4,31.1,1006.0,50.0,10.0,169.9,2
2022-12-02 15:00:00,27.0,30.5,25.0,88.83,0.9,3.6,17.0,1006.0,50.0,10.0,187.9,2
2022-12-02 16:00:00,26.0,26.0,25.0,94.23,0.8,5.4,50.0,1005.0,50.0,9.0,177.8,2
2022-12-02 17:00:00,26.0,26.0,25.0,94.23,1.6,3.6,31.5,1005.0,50.0,9.0,66.3,1
2022-12-02 18:00:00,26.0,26.0,25.0,94.23,1.5,5.4,51.1,1006.0,50.0,10.0,36.6,0
2022-12-02 19:00:00,26.0,26.0,25.0,94.23,1.1,3.6,51.0,1006.0,50.0,10.0,7.6,0
2022-12-02 20:00:00,26.0,26.0,25.0,94.23,1.0,14.8,20.0,1007.0,50.0,10.0,0.0,0
2022-12-02 21:00:00,25.0,25.0,24.0,94.19,1.3,5.4,40.0,1008.0,50.0,9.0,0.0,0
2022-12-02 22:00:00,25.0,25.0,25.0,100.0,1.8,7.6,20.0,1008.0,50.0,6.0,0.0,0
2022-12-02 23:00:00,25.0,25.0,25.0,100.0,2.7,9.4,220.0,1008.0,50.0,9.0,0.0,0
2022-12-03 00:00:00,25.0,25.0,24.0,94.19,4.4,7.6,220.0,1008.0,50.0,9.0,0.0,0
2022-12-03 01:00:00,24.0,24.0,24.0,100.0,5.1,5.4,83.8,1008.0,50.0,9.0,0.0,0
2022-12-03 02:00:00,24.0,24.0,24.0,100.0,5.6,4.7,93.3,1007.0,50.0,9.0,0.0,0
2022-12-03 03:00:00,24.0,24.0,24.0,100.0,3.2,5.4,260.0,1006.0,50.0,9.0,0.0,0
2022-12-03 04:00:00,24.0,24.0,24.0,100.0,4.9,7.6,250.0,1005.0,25.0,10.0,0.0,0
2022-12-03 05:00:00,24.0,24.0,24.0,100.0,5.6,3.6,132.4,1005.0,50.0,10.0,0.0,0
2022-12-03 06:00:00,24.0,24.0,24.0,100.0,7.3,1.8,147.3,1006.0,50.0,10.0,0.0,0
2022-12-03 07:00:00,24.0,24.0,24.0,100.0,10.1,1.8,202.8,1006.0,50.0,9.0,0.0,0
2022-12-03 08:00:00,24.0,24.0,24.0,100.0,7.2,3.6,227.2,1007.0,50.0,10.0,7.1,0
2022-12-03 09:00:00,24.0,24.0,24.0,100.0,3.7,5.4,235.0,1008.0,50.0,10.0,34.3,0
2022-12-03 10:00:00,24.0,24.0,24.0,100.0,2.5,3.6,228.0,1009.0,50.0,10.0,71.5,1
2022-12-03 11:00:00,25.0,25.0,24.0,94.19,2.0,3.6,248.8,1008.0,50.0,10.0,247.4,2
2022-12-03 12:00:00,26.0,26.0,24.0,88.75,0.7,3.6,221.9,1008.0,25.0,10.0,274.4,3
2022-12-03 13:00:00,27.0,30.5,25.0,88.83,0.3,3.6,257.0,1007.0,25.0,10.0,292.2,3
2022-12-03 14:00:00,28.0,32.6,25.0,83.78,0.3,9.4,10.0,1006.0,50.0,10.0,422.5,4
2022-12-03 15:00:00,29.0,34.4,25.0,79.05,0.5,7.6,20.0,1005.0,50.0,10.0,440.6,4
2022-12-03 16:00:00,29.0,34.4,25.0,79.05,0.4,9.4,30.0,1004.0,25.0,10.0,321.0,3
