name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
WMKJ,2022-12-02T00:00:00,25,25,24,94.19,0.1,100,rain,0,0,11.2,1.8,348.5,1008,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T01:00:00,25,25,24,94.19,0,0,rain,0,0,10.8,0,0,1008,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T02:00:00,25,25,24,94.19,0,0,,0,0,9.4,0,0,1007,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T03:00:00,25,25,24,94.19,0,0,,0,0,17.3,5.4,290,1006,25,7,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T04:00:00,24,24,24,100,0,0,rain,0,0,18.4,3.6,338.3,1006,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T05:00:00,24,24,24,100,0,0,rain,0,0,18,3.6,334.7,1006,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T06:00:00,25,25,23,88.68,0,0,rain,0,0,16.2,0,0,1006,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T07:00:00,24,24,23,94.15,0,0,rain,0,0,14.8,3.6,305.2,1007,25,7,0.1,0,0,10,Partially cloudy,partly-cloudy-day,WMKJ
WMKJ,2022-12-02T08:00:00,24,24,24,100,0,0,,0,0,16.2,3.6,303.8,1007,25,8,59.4,0.2,1,10,Partially cloudy,partly-cloudy-day,WMKJ
WMKJ,2022-12-02T09:00:00,25,25,24,94.19,0.1,100,rain,0,0,18,5.4,309.7,1008,25,9,187.4,0.7,2,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T10:00:00,26,26,24,88.75,0.1,100,rain,0,0,21.6,5.4,317,1008,25,10,317,1.1,3,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T11:00:00,27,30,24,83.67,0.1,100,rain,0,0,22.7,7.6,280,1008,25,10,326.3,1.2,3,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T12:00:00,28,32.6,25,83.78,0.5,100,rain,0,0,28.8,7.6,319.1,1008,50,10,576.9,2.1,6,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T13:00:00,30,36.1,25,74.62,1.8,100,rain,0,0,28.8,9.4,320.7,1007,50,10,311.6,1.1,3,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T14:00:00,27,30.5,25,88.83,0.2,100,rain,0,0,25.9,7.6,311.3,1006,50,3,405,1.5,4,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T15:00:00,28,32.6,25,83.78,5.1,100,rain,0,0,22.3,0,0,1005,50,8,426.5,1.5,4,60,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T16:00:00,27,30.5,25,88.83,5.2,100,rain,0,0,19.8,5.4,303.7,1004,50,10,247.6,0.9,2,60,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T17:00:00,27,30,24,83.67,1.9,100,rain,0,0,18.7,5.4,320.7,1004,25,10,109.3,0.4,1,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T18:00:00,27,30.5,25,88.83,0.3,100,rain,0,0,14,9.4,30,1005,25,10,66.8,0.2,1,30,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T19:00:00,26,26,24,88.75,0.5,100,rain,0,0,15.1,5.4,70,1005,25,10,32.7,0.1,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T20:00:00,25,25,24,94.19,0,0,,0,0,10.1,3.6,354.4,1006,50,6,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-02T21:00:00,25,25,24,94.19,0.8,100,rain,0,0,10.1,3.6,338.3,1007,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T22:00:00,25,25,24,94.19,0.1,100,rain,0,0,10.4,1.8,299.1,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-02T23:00:00,25,25,24,94.19,1.4,100,rain,0,0,11.5,3.6,276,1009,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T00:00:00,25,25,24,94.19,0.2,100,rain,0,0,10.4,3.6,268.2,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T01:00:00,25,25,24,94.19,0.2,100,rain,0,0,12.6,3.6,267.1,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T02:00:00,25,25,24,94.19,0.4,100,rain,0,0,13.7,5.8,280.9,1006,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T03:00:00,24,24,24,100,0.1,100,rain,0,0,10.8,0,0,1006,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T04:00:00,24,24,24,100,0,0,,0,0,10.1,0,0,1006,25,9,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-03T05:00:00,24,24,24,100,0,0,,0,0,11.2,1.8,248,1005,25,9,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-03T06:00:00,24,24,23,94.15,0,0,,0,0,11.9,0,0,1006,25,6,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKJ
WMKJ,2022-12-03T07:00:00,24,24,23,94.15,0,0,,0,0,10.4,0,0,1006,25,7,0.1,0,0,10,Partially cloudy,partly-cloudy-day,WMKJ
WMKJ,2022-12-03T08:00:00,24,24,23,94.15,0,0,,0,0,13.3,1.8,319.3,1007,25,9,66.1,0.2,1,10,Partially cloudy,partly-cloudy-day,WMKJ
WMKJ,2022-12-03T09:00:00,26,26,24,88.75,0,0,,0,0,18.7,3.6,323.8,1008,25,10,233.4,0.8,2,10,Partially cloudy,partly-cloudy-day,WMKJ
WMKJ,2022-12-03T10:00:00,28,31.8,24,78.91,0.1,100,rain,0,0,28.1,5.4,318.1,1008,25,10,407.7,1.5,4,10,"Rain, Partially cloudy",rain,WMKJ
WMKJ,2022-12-03T11:00:00,29,33.5,24,74.46,0.2,100,rain,0,0,31,9.4,306,1008,25,10,627.4,2.3,6,10,"Rain, Partially cloudy",rain,WMKJ
