name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
48602299999,2022-12-02T00:00:00,26.1,26.1,22.1,78.65,0,0,,0,0,18.4,9.4,60,1009,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T01:00:00,26.1,26.1,21.1,73.98,0,0,,0,0,17.3,13,70,1009,30,10,0,0,0,3,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T02:00:00,25.1,25.1,21.1,78.5,0,0,,0,0,17.6,5.4,40,1008,50,9,0,0,0,3,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T03:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,21.6,3.6,44.1,1007,50,9,0,0,0,3,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T04:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,20.2,3.6,43.6,1006,50,10,0,0,0,3,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T05:00:00,24.1,24.1,22.1,88.6,0.1,100,rain,0,0,17.3,3.6,42.8,1006,30,10,0,0,0,3,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T06:00:00,23.6,23.6,22.6,94.13,0.1,100,rain,0,0,14,4.7,49.9,1007,100,24.1,0,0,0,3,"Rain, Overcast",rain,remote
48602299999,2022-12-02T07:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,13,1.8,43.5,1007,50,10,0,0,0,3,Partially cloudy,partly-cloudy-night,48602299999
48602299999,2022-12-02T08:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,11.5,5.4,110,1007,30,10,25,0.1,0,3,Partially cloudy,partly-cloudy-day,48602299999
48602299999,2022-12-02T09:00:00,25.1,25.1,22.1,83.46,0,0,,0,0,13,0,34.1,1008,30,10,158.6,0.6,2,10,Partially cloudy,partly-cloudy-day,48602299999
48602299999,2022-12-02T10:00:00,27.1,29.7,23.1,78.79,0.1,100,rain,0,0,26.3,5.4,35.9,1009,30,10,280.4,1,3,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T11:00:00,28.1,32.1,24.1,78.93,0.1,100,rain,0,0,33.5,3.6,54.4,1009,30,10,390.1,1.4,4,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T12:00:00,29.1,34.7,25.1,79.07,0.2,100,rain,0,0,36.7,7.6,250,1008,50,10,442.2,1.6,4,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T13:00:00,29.1,34.7,25.1,79.07,0.3,100,rain,0,0,37.8,11.2,270,1007,50,10,435.5,1.6,4,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T14:00:00,30.1,36.3,25.1,74.64,1.3,100,rain,0,0,37.8,7.6,46.6,1006,50,10,272,1,3,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T15:00:00,28.1,31.4,23.1,74.31,0.6,100,rain,0,0,31.7,5.4,35.9,1005,50,10,409.2,1.5,4,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T16:00:00,30.1,35.2,24.1,70.3,0.2,100,rain,0,0,28.1,5.4,34.9,1005,50,10,276.6,1,3,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T17:00:00,26.1,26.1,24.1,88.76,0.4,100,rain,0,0,25.9,13,33.5,1004,50,9,79.8,0.3,1,10,"Rain, Partially cloudy",rain,48602299999
48602299999,2022-12-02T18:00:00,26.1,26.1,24.1,88.76,0.5,100,rain,0,0,28.8,5.4,10,1005,30,10,102.8,0.4,1,10,"Rain, Partially cloudy",rain,48602299999
