name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
WMKC,2022-12-02T00:00:00,24,24,23,94.15,0.7,100,rain,0,0,34.9,9.4,240,1010,50,4,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T01:00:00,24,24,23,94.15,0.3,100,rain,0,0,33.1,0,0,1011,50,2,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T02:00:00,23,23,23,100,0.4,100,rain,0,0,33.1,5.4,240,1009,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T03:00:00,23,23,23,100,0.6,100,rain,0,0,21.2,0,0,1008,50,8,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T04:00:00,23,23,23,100,0.6,100,rain,0,0,19.4,0,0,1008,50,2,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T05:00:00,23,23,23,100,1.3,100,rain,0,0,32.8,0,0,1007,50,2,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T06:00:00,23,23,23,100,1,100,rain,0,0,33.8,0,0,1007,50,7,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T07:00:00,23,23,23,100,0.5,100,rain,0,0,33.5,0,0,1007,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T08:00:00,23,23,23,100,0.2,100,rain,0,0,34.2,0,0,1008,25,10,15.6,0.1,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T09:00:00,24,24,23,94.15,0.4,100,rain,0,0,34.6,0,0,1009,50,1,94.6,0.3,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T10:00:00,24,24,23,94.15,0.7,100,rain,0,0,37.4,0,0,1009,50,7,193.5,0.7,2,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T11:00:00,24,24,23,94.15,0.5,100,rain,0,0,37.1,0,0,1010,50,7,194.2,0.7,2,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T12:00:00,24,24,24,100,0.9,100,rain,0,0,37.1,0,0,1009,50,7,218.2,0.8,2,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T13:00:00,24,24,24,100,1.4,100,rain,0,0,36.7,0,0,1008,50,8,316.1,1.1,3,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T14:00:00,24,24,24,100,2.5,100,rain,0,0,39.6,0,0,1007,50,7,215.3,0.8,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T15:00:00,25,25,24,94.19,3.6,100,rain,0,0,33.1,0,0,1006,50,9,65.7,0.2,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T16:00:00,25,25,24,94.19,4.3,100,rain,0,0,30.6,5.4,230,1006,50,1,68.6,0.2,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T17:00:00,24,24,24,100,4.8,100,rain,0,0,29.2,0,0,1006,50,8,11.2,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T18:00:00,25,25,24,94.19,4.6,100,rain,0,0,29.5,0,0,1006,50,8,0.5,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T19:00:00,24,24,24,100,4,100,rain,0,0,28.8,11.2,110,1007,25,1,1.5,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T20:00:00,24,24,23,94.15,3.5,100,rain,0,0,27.7,9.4,100,1008,25,5,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T21:00:00,24,24,24,100,3.2,100,rain,0,0,24.8,0,0,1008,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T22:00:00,24,24,24,100,3.5,100,rain,0,0,26.3,0,0,1009,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-02T23:00:00,24,24,24,100,4.4,100,rain,0,0,27.4,0,0,1009,25,5,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T00:00:00,24,24,24,100,5.4,100,rain,0,0,29.9,0,0,1009,50,5,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T01:00:00,24,24,24,100,5.9,100,rain,0,0,31.3,0,0,1008,25,8,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T02:00:00,24,24,23,94.15,6.2,100,rain,0,0,29.9,12.6,67.5,1007,50,1,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T03:00:00,24,24,23,94.15,5.5,100,rain,0,0,29.2,0,0,1007,50,1,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T04:00:00,23,23,23,100,6.5,100,rain,0,0,29.5,0,0,1006,50,4,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T05:00:00,24,24,23,94.15,7.2,100,rain,0,0,30.2,0,0,1006,50,4,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T06:00:00,23,23,23,100,7.7,100,rain,0,0,31,0,0,1006,50,5,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T07:00:00,23,23,23,100,7,100,rain,0,0,32.8,0,0,1006,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T08:00:00,24,24,23,94.15,5.4,100,rain,0,0,29.9,0,0,1008,50,6,7.2,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T09:00:00,24,24,24,100,4.8,100,rain,0,0,31.7,0,0,1008,50,7,37.1,0.1,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T10:00:00,24,24,24,100,4.8,100,rain,0,0,33.5,0,0,1009,50,8,70,0.3,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T11:00:00,24,24,24,100,4.4,100,rain,0,0,35.3,0,0,1009,50,8,158.3,0.6,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T12:00:00,24,24,24,100,4,100,rain,0,0,34.9,0,0,1008,50,10,137.6,0.5,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T13:00:00,25,25,24,94.19,3.2,100,rain,0,0,33.8,0,0,1008,50,8,186.5,0.7,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T14:00:00,25,25,24,94.19,2.2,100,rain,0,0,30.6,0,0,1007,25,10,223.8,0.8,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T15:00:00,25,25,24,94.19,1,100,rain,0,0,18,0,0,1006,50,10,291.6,1,3,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T16:00:00,26,26,24,88.75,0.8,100,rain,0,0,16.2,0,0,1005,25,10,277.5,1,3,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T17:00:00,26,26,24,88.75,1.4,100,rain,0,0,16.6,5.4,310,1005,50,10,214.4,0.8,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T18:00:00,26,26,24,88.75,1.7,100,rain,0,0,17.3,0,0,1005,50,10,85.7,0.3,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T19:00:00,25,25,24,94.19,0.4,100,rain,0,0,17.6,0,0,1006,25,10,19.2,0.1,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T20:00:00,25,25,24,94.19,0.5,100,rain,0,0,19.8,0,0,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T21:00:00,24,24,24,100,0.7,100,rain,0,0,20.9,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T22:00:00,24,24,24,100,0.6,100,rain,0,0,19.4,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-03T23:00:00,24,24,24,100,1.2,100,rain,0,0,19.4,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T00:00:00,24,24,24,100,1.5,100,rain,0,0,18.7,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T01:00:00,24,24,23,94.15,0.9,100,rain,0,0,17.3,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T02:00:00,24,24,24,100,0.6,100,rain,0,0,15.8,0,0,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T03:00:00,24,24,23,94.15,0.7,100,rain,0,0,16.9,0,0,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T04:00:00,24,24,24,100,1.8,100,rain,0,0,16.6,0,0,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T05:00:00,24,24,24,100,1.6,100,rain,0,0,17.3,0,0,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T06:00:00,24,24,23,94.15,1.4,100,rain,0,0,17.6,0,0,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T07:00:00,24,24,24,100,0.9,100,rain,0,0,18.4,0,0,1007,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T08:00:00,24,24,24,100,0.4,100,rain,0,0,19.4,0,0,1008,25,9,15.3,0.1,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T09:00:00,25,25,24,94.19,0.2,100,rain,0,0,21.2,0,0,1009,25,9,90.9,0.3,1,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T10:00:00,25,25,24,94.19,0.3,100,rain,0,0,23.4,0,0,1009,25,9,202.5,0.7,2,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T11:00:00,25,25,24,94.19,0.6,100,rain,0,0,24.1,0,0,1009,25,9,330.9,1.2,3,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T12:00:00,26,26,25,94.23,0.5,100,rain,0,0,23.8,0,0,1009,25,10,514.2,1.9,5,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T13:00:00,27,30.5,25,88.83,0.3,100,rain,0,0,22.7,0,0,1008,25,10,579.6,2.1,6,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T14:00:00,27,30.5,25,88.83,0.3,100,rain,0,0,22.3,0,0,1007,25,10,620.7,2.2,6,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T15:00:00,27,30.5,25,88.83,0.1,100,rain,0,0,28.8,7.6,80,1006,25,10,516.1,1.9,5,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T16:00:00,27,30.5,25,88.83,1.7,100,rain,0,0,32.4,0,0,1005,25,10,433.6,1.6,4,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T17:00:00,27,30.5,25,88.83,0.2,100,rain,0,0,31.3,0,0,1005,25,10,281.5,1,3,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T18:00:00,27,31,26,94.27,0,0,,0,0,28.8,0,0,1005,25,10,151.8,0.5,2,30,Partially cloudy,partly-cloudy-day,WMKC
WMKC,2022-12-04T19:00:00,27,30.5,25,88.83,0.1,100,rain,0,0,27,3.6,113.6,1007,25,10,42.3,0.2,0,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T20:00:00,27,30.5,25,88.83,0.6,100,rain,0,0,25.6,0,0,1007,25,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T21:00:00,27,30.5,25,88.83,1.5,100,rain,0,0,23.8,0,0,1008,25,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T22:00:00,27,31,26,94.27,1.7,100,rain,0,0,21.2,0,0,1009,25,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-04T23:00:00,26,26,25,94.23,1.6,100,rain,0,0,20.5,0,0,1009,50,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T00:00:00,26,26,25,94.23,1.2,100,rain,0,0,21.6,0,0,1009,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T01:00:00,25,25,25,100,0.8,100,rain,0,0,20.9,0,0,1009,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T02:00:00,25,25,24,94.19,0.9,100,rain,0,0,19.4,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T03:00:00,25,25,24,94.19,0.5,100,rain,0,0,20.9,0,0,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T04:00:00,25,25,24,94.19,0.5,100,rain,0,0,19.8,0,0,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
WMKC,2022-12-05T05:00:00,25,25,24,94.19,0.6,100,rain,0,0,16.9,0,0,1007,50,8,0,0,0,10,"Rain, Partially cloudy",rain,WMKC
