name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
KUALA LUMPUR INTERNATIONAL,2022-12-02T00:00:00,25,25,24,94.17,0,0,,0,0,11.2,0,359,1008,27.8,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T01:00:00,25,25,24.1,94.48,0,0,,0,0,10.8,0,360,1008.3,72.6,7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T02:00:00,24.9,24.9,24,95.11,0.798,100,rain,0,0,10.8,0.1,0,1008.1,61.8,7,0,0,0,10,"Rain, Partially cloudy",rain,"48647099999,48650099999,WMSA,9VHK7,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T03:00:00,25,25,23.9,93.55,0,0,,0,0,12.6,0,360,1007.1,61.8,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T04:00:00,25,25,24,94.19,0,0,rain,0,0,12.2,0,0,1006,27.8,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T05:00:00,24.8,24.8,24.1,95.79,0,0,,0,0,13.3,0,0,1006.3,72.6,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T06:00:00,25,25,24,94.19,0,0,,0,0,16.2,3.6,2.4,1007,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T07:00:00,24.8,24.8,23.9,94.82,0,0,,0,0,13.3,1.8,100,1007.4,72.6,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T08:00:00,24.8,24.8,24,95.46,37.847,100,rain,0,0,13.7,0,0,1008.1,72.6,9,25.2,0.1,0,10,"Rain, Partially cloudy",rain,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T09:00:00,25.3,25.3,23.9,91.95,0,0,rain,0,0,15.8,0,0,1008.5,61.8,9,144.5,0.5,1,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T10:00:00,26.1,26.1,24.1,88.72,0,0,,0,0,17.6,8.2,259,1009.1,72.6,8,312.1,1.1,3,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,C6WK7,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T11:00:00,27.8,32.1,24.8,83.72,0,0,,0,0,21.6,5.4,280,1009.2,61.8,9,497,1.8,5,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T12:00:00,28.1,32.1,24.1,78.87,0,0,rain,0,0,22.3,7.6,290,1008.3,72.6,9,586.2,2.1,6,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T13:00:00,29.1,33.9,24.2,74.94,0,0,rain,0,0,22.3,3.6,260,1007.2,72.6,10,529.1,1.9,5,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T14:00:00,30.1,36.2,24.9,73.83,0,0,rain,0,0,23,11.2,250,1006,72.5,10,423.4,1.5,4,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,VRLZ3,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T15:00:00,31,36.5,24,66.45,0,0,rain,0,0,21.6,9.3,280.2,1005,49.9,10,494.7,1.8,5,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T16:00:00,26,26,23,83.52,0,0,rain,0,0,44.6,20.5,10,1005,49.9,7,476.3,1.7,5,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T17:00:00,23.3,23.3,22.7,96.53,0,0,,0,0,22.3,0.1,359,1004.5,72.6,7,301.6,1.1,3,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T18:00:00,24,24,23,94.07,0,0,rain,0,0,20.2,0,359,1004,49.9,8,147.8,0.5,1,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T19:00:00,25,25,23,88.66,0,0,rain,0,0,15.1,3.6,310,1005,49.9,9,36.8,0.1,0,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T20:00:00,24.7,24.7,23.2,91.07,4.98,100,rain,0,0,15.8,0.1,0,1006.5,72.6,9,0,0,0,10,"Rain, Partially cloudy",rain,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T21:00:00,24.8,24.8,23.8,94.18,0,0,,0,0,18,11.1,349,1008.3,72.6,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T22:00:00,24.8,24.8,23.2,90.83,0,0,,0,0,18.4,9.4,349,1009.1,72.6,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-02T23:00:00,24.1,24.1,23,93.83,0,0,,0,0,19.1,7.5,350,1009.4,72.6,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T00:00:00,24,24,23.1,94.48,0,0,,0,0,18,5.4,10,1009.1,72.6,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T01:00:00,24,24,23,94.14,0,0,,0,0,14.4,0,360,1008,49.9,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,D5VY3,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T02:00:00,23.9,23.9,23.1,95.13,1.121,100,rain,0,0,13.3,3.6,40,1007.1,72.6,8,0,0,0,10,"Rain, Partially cloudy",rain,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T03:00:00,24,24,23,94.18,0,0,,0,0,15.1,3.6,200,1006,49.9,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T04:00:00,24,24,23.1,94.47,0,0,,0,0,14.4,0,0,1005.5,72.6,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T05:00:00,23.8,23.8,23.2,96.41,0,0,,0,0,13.3,3.6,310,1006.2,72.6,9,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T06:00:00,24,24,23,94.15,0,0,,0,0,16.2,0,0,1006,49.9,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T07:00:00,24,24,24,99.97,0,0,,0,0,16.6,0,0,1006,49.9,7,0,0,0,10,Partially cloudy,partly-cloudy-night,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T08:00:00,24.1,24.1,23.7,97.96,0,0,,0,0,18.4,5.4,40,1007.2,61.8,8,41.4,0.1,0,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T09:00:00,25.1,25.1,24,93.87,0,0,,0,0,23.4,9.3,10,1008.2,61.8,9,181.4,0.7,2,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T10:00:00,27.1,30.2,24,83.4,0,0,,0,0,27,9.4,350,1008.3,61.8,10,297,1.1,3,10,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
KUALA LUMPUR INTERNATIONAL,2022-12-03T11:00:00,28.8,33.1,23.9,74.96,0,0,,0,0,28.4,9.4,340,1008.3,72.6,10,520.6,1.9,5,30,Partially cloudy,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
