name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
48657099999,2022-12-02T00:00:00,25.1,25.1,23.1,88.68,0,0,,0,0,16.6,7.6,320,1008,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T01:00:00,25.2,25.2,22.9,87.1,0,0,,0,0,15.8,3.6,10,1008.5,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T02:00:00,24.4,24.4,22.9,91.36,0,0,,0,0,15.5,5.4,340,1008.1,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T03:00:00,24.1,24.1,22.7,91.9,0,0,,0,0,17.3,5.4,330,1007.3,90,12,0,0,0,3,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T04:00:00,24.1,24.1,22.1,88.6,0,0,,0,0,15.8,1.8,353,1006,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T05:00:00,24.1,24.1,22.2,89.14,0,0,,0,0,15.1,3.6,30,1006.3,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T06:00:00,24.2,24.2,22.4,89.7,0,0,,0,0,17.3,8.6,337.6,1007,99,24.1,0,0,0,10,Overcast,cloudy,remote
48657099999,2022-12-02T07:00:00,23.2,23.2,22.2,94.11,0,0,,0,0,17.6,0,324.9,1007.4,90,14,0,0,0,10,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T08:00:00,24.2,24.2,22.4,89.7,0,0,,0,0,16.9,0,310.2,1007.5,90,18,29.2,0.1,0,3,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T09:00:00,26.2,26.2,23.2,83.58,0,0,,0,0,16.9,0,319.6,1008.2,90,18,133.5,0.5,1,10,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T10:00:00,27.7,30.8,23.2,76.53,0,0,,0,0,20.9,3.6,30,1008.8,90,16,192.2,0.7,2,10,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T11:00:00,28.1,31.4,23.2,74.76,0,0,rain,0,0,24.5,7.6,330,1009.1,90,16,282.2,1,3,10,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T12:00:00,29.1,33.4,23.7,72.7,0,0,rain,0,0,25.6,5.4,30,1008.4,90,15,355.2,1.3,4,30,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T13:00:00,28.6,32.7,23.9,75.75,0,0,rain,0,0,25.6,7.6,20,1007.3,90,14,253.3,0.9,3,30,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T14:00:00,29.9,34.1,23.2,67.36,1,100,rain,0,0,25.2,11.2,10,1005.8,90,16,261,0.9,3,30,"Rain, Partially cloudy",rain,48657099999
48657099999,2022-12-02T15:00:00,30.7,33.8,21.7,58.73,0,0,rain,0,0,25.6,13,20,1005.1,90,16,548,2,5,60,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T16:00:00,30.1,34.3,23.1,66.19,0,0,rain,0,0,26.3,9.4,20,1004,30,10,452.1,1.6,5,30,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T17:00:00,28.9,32.3,22.7,69.24,0,0,,0,0,25.6,7.6,30,1004.5,90,16,194.1,0.7,2,30,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T18:00:00,28.1,31.4,23.1,74.31,0,0,rain,0,0,22.7,9.4,10,1005,30,10,168.7,0.6,2,10,Partially cloudy,partly-cloudy-day,48657099999
48657099999,2022-12-02T19:00:00,28.1,31.4,23.1,74.31,0,0,,0,0,19.8,5.4,20,1005,30,10,28.3,0.1,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T20:00:00,26.7,26.7,23.2,81.15,0,0,,0,0,15.8,11.2,20,1006.9,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T21:00:00,25.1,25.1,22.6,86.04,0,0,,0,0,15.5,9.4,340,1007.9,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T22:00:00,24.6,24.6,22.7,89.18,0,0,,0,0,13.3,5.4,320,1008.5,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-02T23:00:00,24.6,24.6,22.7,89.18,0,0,,0,0,11.9,3.6,320,1009,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-03T00:00:00,24.7,24.7,22.4,87.05,0,0,,0,0,10.4,5.4,280,1008.5,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-03T01:00:00,25.1,25.1,23.1,88.68,0,0,,0,0,9.7,0,276.2,1007,30,10,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
48657099999,2022-12-03T02:00:00,24.7,24.7,22.7,88.65,0,0,,0,0,9.4,0,270.2,1007.1,90,12,0,0,0,10,Partially cloudy,partly-cloudy-night,48657099999
