name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
WMSA,2022-12-02T00:00:00,25,25,23,88.68,0,0,,0,0,10.1,5.4,280,1009,25,9,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-02T01:00:00,25,25,23,88.68,0,0,,0,0,8.6,3.6,341.2,1009,25,9,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-02T02:00:00,25,25,23,88.68,0,0,,0,0,7.6,0,0,1008,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-02T03:00:00,25,25,24,94.19,1.2,100,rain,0,0,14,1.8,23.4,1007,25,8,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T04:00:00,25,25,24,94.19,0.2,100,rain,0,0,13.3,1.8,43.8,1007,25,8,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T05:00:00,25,25,24,94.19,0.2,100,rain,0,0,12.2,0,0,1006,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T06:00:00,25,25,24,94.19,0.2,100,rain,0,0,10.8,3.6,94.1,1007,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T07:00:00,25,25,24,94.19,0.1,100,rain,0,0,10.1,0,0,1008,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T08:00:00,25,25,24,94.19,0,0,rain,0,0,5.4,0,0,1008,25,10,16.8,0.1,0,10,Partially cloudy,partly-cloudy-day,WMSA
WMSA,2022-12-02T09:00:00,27,30,24,83.67,0,0,rain,0,0,7.9,0,0,1009,25,10,107.1,0.4,1,10,Partially cloudy,partly-cloudy-day,WMSA
WMSA,2022-12-02T10:00:00,28,31.8,24,78.91,0,0,,0,0,12.2,9.4,210,1009,25,10,308,1.1,3,30,Partially cloudy,partly-cloudy-day,WMSA
WMSA,2022-12-02T11:00:00,29,33.5,24,74.46,0,0,,0,0,15.8,7.6,270,1010,25,10,526.2,1.9,5,30,Partially cloudy,partly-cloudy-day,WMSA
WMSA,2022-12-02T12:00:00,30,34,23,66.17,0.1,100,rain,0,0,23,5.4,273.4,1009,25,10,574.4,2.1,6,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T13:00:00,31,36.4,24,66.37,0.5,100,rain,0,0,23.8,5.4,284.2,1007,25,10,494.9,1.8,5,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T14:00:00,31,36.4,24,66.37,1,100,rain,0,0,25.2,18.4,290,1006,25,10,512.1,1.8,5,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T15:00:00,28,32.6,25,83.78,1.1,100,rain,0,0,22.3,5.4,288.7,1005,25,10,457.5,1.6,5,60,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T16:00:00,29,33.5,24,74.46,0.2,100,rain,0,0,20.5,11.2,310,1005,25,10,500.4,1.8,5,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T17:00:00,28,31.8,24,78.91,1.2,100,rain,0,0,19.4,11.2,280,1005,25,10,301.3,1.1,3,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T18:00:00,28,31.8,24,78.91,0.4,100,rain,0,0,18,7.6,300,1005,25,10,160.1,0.6,2,30,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T19:00:00,28,32.6,25,83.78,1.7,100,rain,0,0,14.8,11.2,310,1006,25,10,43.3,0.2,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T20:00:00,27,29.5,23,78.77,0.4,100,rain,0,0,15.8,18.4,10,1007,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T21:00:00,24,24,23,94.15,0.3,100,rain,0,0,15.8,7.6,190,1009,50,6,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T22:00:00,24,24,23,94.15,0.1,100,rain,0,0,14.4,7.6,210,1010,25,8,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-02T23:00:00,24,24,23,94.15,0,0,,0,0,11.5,3.6,42.4,1009,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-03T00:00:00,24,24,24,100,0,0,,0,0,11.9,3.6,60.4,1009,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-03T01:00:00,24,24,24,100,0,0,,0,0,10.8,0,0,1008,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-03T02:00:00,24,24,24,100,0,0,,0,0,7.9,4.7,76.9,1007,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-03T03:00:00,24,24,24,100,1.5,100,rain,0,0,19.1,5.4,200,1007,25,8,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T04:00:00,25,25,24,94.19,0.9,100,rain,0,0,12.2,0,0,1006,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T05:00:00,25,25,24,94.19,0.4,100,rain,0,0,11.9,0,0,1006,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T06:00:00,25,25,24,94.19,0.1,100,rain,0,0,7.6,3.6,104.6,1007,25,9,0,0,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T07:00:00,25,25,24,94.19,0,0,,0,0,5,3.6,81,1007,25,8,0,0,0,10,Partially cloudy,partly-cloudy-night,WMSA
WMSA,2022-12-03T08:00:00,25,25,24,94.19,0.1,100,rain,0,0,7.2,5.4,360,1008,25,9,33.4,0.1,0,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T09:00:00,25,25,24,94.19,0.1,100,rain,0,0,9.7,5.4,350,1009,25,9,143.3,0.5,1,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T10:00:00,27,30,24,83.67,0.1,100,rain,0,0,18.7,9.4,350,1009,25,10,251.5,0.9,3,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T11:00:00,28,31.8,24,78.91,0.1,100,rain,0,0,20.2,13,320,1009,25,10,354.3,1.3,4,10,"Rain, Partially cloudy",rain,WMSA
WMSA,2022-12-03T12:00:00,29,33.5,24,74.46,0.3,100,rain,0,0,24.5,13,320,1008,25,10,393.8,1.4,4,30,"Rain, Partially cloudy",rain,WMSA
