name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
WMKN,2022-12-02T00:00:00,24,24,24,100,0.5,100,rain,0,0,28.1,5.4,7.1,1009,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T01:00:00,24,24,24,100,0.2,100,rain,0,0,25.9,5.4,350.8,1009,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T02:00:00,24,24,24,100,0.4,100,rain,0,0,25.9,7.6,270,1008,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T03:00:00,24,24,24,100,1.1,100,rain,0,0,28.1,5.4,260,1007,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T04:00:00,24,24,23,94.15,2.5,100,rain,0,0,26.3,9.4,270,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T05:00:00,25,25,24,94.19,3.8,100,rain,0,0,30.6,9.4,290,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T06:00:00,24,24,24,100,1.3,100,rain,0,0,31,5.4,250,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T07:00:00,24,24,23,94.15,0.4,100,rain,0,0,28.8,7.6,220,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T08:00:00,24,24,24,100,0.8,100,rain,0,0,28.8,5.4,99.6,1007,25,10,11.3,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T09:00:00,25,25,24,94.19,1,100,rain,0,0,29.2,5.4,220,1008,25,10,56.5,0.2,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T10:00:00,25,25,24,94.19,0.9,100,rain,0,0,28.4,5.4,47.9,1009,50,8,81.8,0.3,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T11:00:00,25,25,24,94.19,1.3,100,rain,0,0,27.7,5.4,250,1009,50,10,126.9,0.5,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T12:00:00,25,25,24,94.19,1.6,100,rain,0,0,26.6,5.4,290,1009,50,5,124.3,0.4,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T13:00:00,26,26,24,88.75,1.7,100,rain,0,0,25.9,9.4,280,1008,25,10,159.6,0.6,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T14:00:00,26,26,25,94.23,1.7,100,rain,0,0,27,5.4,31.1,1006,50,10,169.9,0.6,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T15:00:00,27,30.5,25,88.83,0.9,100,rain,0,0,29.9,3.6,17,1006,50,10,187.9,0.7,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T16:00:00,26,26,25,94.23,0.8,100,rain,0,0,25.6,5.4,50,1005,50,9,177.8,0.6,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T17:00:00,26,26,25,94.23,1.6,100,rain,0,0,23.8,3.6,31.5,1005,50,9,66.3,0.2,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T18:00:00,26,26,25,94.23,1.5,100,rain,0,0,23.4,5.4,51.1,1006,50,10,36.6,0.1,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T19:00:00,26,26,25,94.23,1.1,100,rain,0,0,20.5,3.6,51,1006,50,10,7.6,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T20:00:00,26,26,25,94.23,1,100,rain,0,0,18.7,14.8,20,1007,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T21:00:00,25,25,24,94.19,1.3,100,rain,0,0,16.6,5.4,40,1008,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T22:00:00,25,25,25,100,1.8,100,rain,0,0,15.8,7.6,20,1008,50,6,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-02T23:00:00,25,25,25,100,2.7,100,rain,0,0,16.2,9.4,220,1008,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T00:00:00,25,25,24,94.19,4.4,100,rain,0,0,19.4,7.6,220,1008,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T01:00:00,24,24,24,100,5.1,100,rain,0,0,19.8,5.4,83.8,1008,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T02:00:00,24,24,24,100,5.6,100,rain,0,0,21.6,4.7,93.3,1007,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T03:00:00,24,24,24,100,3.2,100,rain,0,0,16.2,5.4,260,1006,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T04:00:00,24,24,24,100,4.9,100,rain,0,0,16.2,7.6,250,1005,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T05:00:00,24,24,24,100,5.6,100,rain,0,0,16.6,3.6,132.4,1005,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T06:00:00,24,24,24,100,7.3,100,rain,0,0,20.9,1.8,147.3,1006,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T07:00:00,24,24,24,100,10.1,100,rain,0,0,23,1.8,202.8,1006,50,9,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T08:00:00,24,24,24,100,7.2,100,rain,0,0,23.4,3.6,227.2,1007,50,10,7.1,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T09:00:00,24,24,24,100,3.7,100,rain,0,0,24.1,5.4,235,1008,50,10,34.3,0.1,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T10:00:00,24,24,24,100,2.5,100,rain,0,0,23.4,3.6,228,1009,50,10,71.5,0.3,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T11:00:00,25,25,24,94.19,2,100,rain,0,0,23,3.6,248.8,1008,50,10,247.4,0.9,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T12:00:00,26,26,24,88.75,0.7,100,rain,0,0,21.6,3.6,221.9,1008,25,10,274.4,1,3,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T13:00:00,27,30.5,25,88.83,0.3,100,rain,0,0,15.5,3.6,257,1007,25,10,292.2,1.1,3,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T14:00:00,28,32.6,25,83.78,0.3,100,rain,0,0,18.4,9.4,10,1006,50,10,422.5,1.5,4,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T15:00:00,29,34.4,25,79.05,0.5,100,rain,0,0,15.1,7.6,20,1005,50,10,440.6,1.6,4,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T16:00:00,29,34.4,25,79.05,0.4,100,rain,0,0,15.8,9.4,30,1004,25,10,321,1.2,3,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T17:00:00,29,34.4,25,79.05,0.7,100,rain,0,0,16.6,7.6,40,1005,25,10,216.3,0.8,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T18:00:00,28,32.6,25,83.78,1,100,rain,0,0,13.7,5.4,57.3,1005,25,10,82.9,0.3,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T19:00:00,27,30.5,25,88.83,1.2,100,rain,0,0,11.2,0,0,1006,25,10,20.8,0.1,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T20:00:00,27,30.5,25,88.83,0.9,100,rain,0,0,12.6,0,0,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T21:00:00,27,30.5,25,88.83,0.2,100,rain,0,0,10.1,3.6,149.5,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T22:00:00,26,26,25,94.23,0.4,100,rain,0,0,6.1,3.6,121,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-03T23:00:00,26,26,25,94.23,2,100,rain,0,0,7.2,7.6,170,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T00:00:00,26,26,25,94.23,0.6,100,rain,0,0,9.4,5.4,140.3,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T01:00:00,25,25,25,100,0.1,100,rain,0,0,12.2,3.6,161,1007,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T02:00:00,25,25,25,100,0,0,,0,0,11.9,3.6,174.3,1007,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-04T03:00:00,25,25,25,100,0,0,,0,0,8.6,3.6,182.5,1006,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-04T04:00:00,25,25,24,94.19,0.1,100,rain,0,0,8.6,5.4,190.6,1006,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T05:00:00,25,25,24,94.19,0.1,100,rain,0,0,8.6,3.6,195.3,1006,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T06:00:00,24,24,24,100,0.2,100,rain,0,0,6.1,5.4,190,1006,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T07:00:00,24,24,24,100,0,0,,0,0,6.1,3.6,131.6,1007,25,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-04T08:00:00,25,25,24,94.19,0.1,100,rain,0,0,8.3,5.4,190,1007,25,10,24,0.1,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T09:00:00,25,25,24,94.19,0.1,100,rain,0,0,13,5.4,220,1008,25,10,123.3,0.4,1,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T10:00:00,26,26,25,94.23,0.1,100,rain,0,0,16.2,3.6,144.8,1009,25,10,243,0.9,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T11:00:00,28,33.4,26,88.91,0.2,100,rain,0,0,18,5.4,139.5,1009,25,10,397.6,1.4,4,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T12:00:00,28,33.4,26,88.91,0.2,100,rain,0,0,20.9,7.6,128.1,1008,50,10,630,2.3,6,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T13:00:00,28,32.6,25,83.78,0.2,100,rain,0,0,23.8,7.6,102.8,1008,50,10,735.4,2.6,7,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T14:00:00,28,32.6,25,83.78,0.1,100,rain,0,0,25.2,5.4,96.4,1007,25,10,666.8,2.4,7,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T15:00:00,29,35.5,26,83.89,0.8,100,rain,0,0,28.1,5.4,108.2,1006,25,10,529,1.9,5,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T16:00:00,29,35.5,26,83.89,0.5,100,rain,0,0,23.8,5.4,127.8,1005,50,10,386.2,1.4,4,60,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T17:00:00,28,32.6,25,83.78,0.6,100,rain,0,0,25.2,7.6,141.5,1005,50,10,355,1.3,4,60,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T18:00:00,26,26,26,100,0.2,100,rain,0,0,27,7.6,170,1006,50,10,212.9,0.8,2,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T19:00:00,25,25,25,100,0.1,100,rain,0,0,25.2,7.6,150,1006,50,10,34.1,0.1,0,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T20:00:00,25,25,25,100,0,0,rain,0,0,20.2,5.4,141.3,1008,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-04T21:00:00,25,25,24,94.19,0,0,rain,0,0,17.3,3.6,137.9,1008,25,10,0,0,0,30,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-04T22:00:00,25,25,24,94.19,0.2,100,rain,0,0,15.8,3.6,152.7,1009,25,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-04T23:00:00,25,25,24,94.19,0.2,100,rain,0,0,15.1,0,0,1009,25,10,0,0,0,30,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T00:00:00,24,24,24,100,0,0,,0,0,13.3,3.6,147.5,1009,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-05T01:00:00,24,24,24,100,0,0,,0,0,14.4,3.6,145.2,1009,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-05T02:00:00,24,24,24,100,0.1,100,rain,0,0,14.4,7.6,210,1008,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T03:00:00,24,24,24,100,0.1,100,rain,0,0,14,5.4,133.9,1007,50,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T04:00:00,24,24,24,100,0,0,,0,0,13.7,3.6,129.9,1007,50,9,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-05T05:00:00,24,24,24,100,0,0,,0,0,11.9,3.6,130.4,1007,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-05T06:00:00,24,24,24,100,0,0,,0,0,9.7,3.6,165.2,1007,50,10,0,0,0,10,Partially cloudy,partly-cloudy-night,WMKN
WMKN,2022-12-05T07:00:00,24,24,24,100,0.1,100,rain,0,0,9,1.8,178.9,1008,25,10,0,0,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T08:00:00,24,24,24,100,0.3,100,rain,0,0,11.2,5.8,165.3,1009,50,10,32.7,0.1,0,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T09:00:00,25,25,24,94.19,0.4,100,rain,0,0,14,1.8,133.3,1010,50,10,159.5,0.6,2,10,"Rain, Partially cloudy",rain,WMKN
WMKN,2022-12-05T10:00:00,25,25,25,100,0.3,100,rain,0,0,18,3.6,123,1010,50,10,292.1,1.1,3,30,"Rain, Partially cloudy",rain,WMKN
