StateID,Variable,MSE,MAE,R2,Std_Dev_Actual,Std_Dev_Predicted
1,temp,10.17635431,2.356991085,0.085613989,3.336040567,0.648386185
1,feelslike,35.6309983,4.134384728,0.218208597,6.751006869,2.074306767
1,precip,1.267148054,0.536504112,-0.270058605,0.998853509,0.451207972
2,temp,4.87076179,1.657542558,0.181690198,2.439717652,1.002830864
2,feelslike,20.37805312,3.225836698,0.218333214,5.105878964,2.19703836
2,precip,1.801150009,1.222970758,-724.4981853,0.049826086,0.555197166
3,temp,2.228359937,1.107800424,0.276273986,1.754710921,1.097360053
3,feelslike,7.548723867,1.992118254,0.320749641,3.333664046,2.673130189
3,precip,0.272078729,0.238676392,-3.477638506,0.246503324,0.432948825
4,temp,5.79081642,2.009498667,-0.1151823,2.278751486,0.7668028
4,feelslike,32.03584602,4.429656583,-0.547201084,4.550349117,1.284917726
4,precip,2.789254662,1.558079378,-853.5801518,0.057130455,0.611246702
5,temp,2.769980382,1.450625372,0.266432782,1.943203969,0.742650703
5,feelslike,13.67221348,3.041702176,0.35048385,4.588010871,2.662227273
5,precip,2.069109616,1.350745294,-59.59009347,0.184795307,0.460777615
6,temp,1.477085813,0.960169005,-7.351015199,0.420565096,1.021144497
6,feelslike,4.710274798,1.408065864,-25.63052889,0.420565096,1.923249394
6,precip,18.49752054,1.549272265,-2398.67834,0.087797115,4.072054439
7,temp,1.153077629,0.936706917,0.655753122,1.830181951,1.553340213
7,feelslike,6.201831859,1.869348393,0.678977767,4.395339625,3.538449465
7,precip,0.331833315,0.468702464,-1.541701988,0.361324723,0.424739598
8,temp,2.598778818,1.313526,-0.355884601,1.38443731,1.801560431
8,feelslike,13.80514877,2.827906792,-0.141026164,3.478345712,3.80695124
8,precip,0.52291861,0.502073539,0.130858117,0.775660561,0.276527199
9,temp,1.791360955,1.057432309,0.147309343,1.449425173,1.794635684
9,feelslike,7.845825365,1.938717403,0.435619099,3.728491559,4.18736878
9,precip,17.85143596,1.30635755,-0.127489949,3.979057716,1.046798503
10,temp,2.192904098,1.246513088,0.536927807,2.176133166,1.578728412
10,feelslike,9.154651647,2.255857228,0.520384982,4.368924353,3.618145422
10,precip,2.579477504,0.491057988,-13.35257962,0.423936578,1.663710532
11,temp,3.794505658,1.330095,0.437706391,2.597742075,1.544367534
11,feelslike,10.637099,2.098426417,0.698444918,5.939204434,4.177622454
11,precip,3.355577688,0.838256478,0.054429277,1.883808015,0.451823746
12,temp,7.13048822,2.0160685,0.259036404,3.102138599,1.805792402
12,feelslike,33.39918554,4.378563333,0.262742499,6.730670627,4.497714333
12,precip,0.174514217,0.380984333,0,0,0.17136264
13,temp,6.810512335,1.940425519,0.503664754,3.704267434,1.9179789
13,feelslike,23.51675914,3.300290425,0.451063161,6.545269708,4.255756119
13,precip,1.664085068,0.676659116,-59.66537968,0.165621724,1.238705
